text,text_simplified
"2026 йилнинг биринчи ярмида Ўзбекистонда меҳнат фаолияти билан боғлиқ 447 та бахтсиз ҳодиса қайд этилди. Улар оқибатида 494 нафар ходим жабрланган бўлиб, 137 нафари ҳалок бўлган. Бу ҳақда Давлат меҳнат инспекцияси маълум қилди. Инспекция маълумотларига кўра, қайд этилган бахтсиз ҳодисаларнинг 21 таси гуруҳий, 311 таси оғир оқибатли, 113 таси эса ўлим билан якунланган. Жами 494 нафар жабрланганнинг 337 нафари оғир, 20 нафари енгил тан жароҳати олган, 137 нафари эса вафот этган. Ҳудудлар кесимида энг кўп бахтсиз ҳодиса Тошкент шаҳрида қайд этилган — 95 та. Кейинги ўринларда Тошкент вилояти (58 та), Қашқадарё вилояти (38 та), Бухоро вилояти (34 та), Самарқанд ва Андижон вилоятлари (ҳар бири 33 тадан), Навоий вилояти (31 та) қайд этилган.","2026 yilning birinchi yarmida O'zbekistonda ishda 447 ta baxtsiz hodisa bo'lgan. 494 kishi jabrlangan, shulardan 137 tasi halok bo'lgan. Bu haqda Davlat mehnat inspeksiyasi ma'lum qildi. Eng ko'p hodisa Toshkentda ro'y bergan."
"Ushbu qaror faqat New Yorkda qoʻllanishi mumkin edi, bu yerda shifokor nazorati ostida tugʻilishni nazorat qilish klinikalarini ochish uchun imkoniyat eshiklari ochildi. Sanger mavjud imkoniyatdan vaqtida foydalanmadi, u shifokor kasbidagi yetakchi bu ishni boshlab berishini kutib xato qildi. Buning oʻrniga u yozish va maʼruza qilishga eʼtibor qaratdi. Tugʻilishni nazorat qilish harakati Birinchi jahon urushi paytida kutilmaganda kuchayib ketdi. Bunga AQSh armiyasining koʻplab askarlariga sifilis yoki gonoreya tashxisi qoʻyilganda boshdan kechirilgan inqiroz sabab boʻldi. Harbiylar keng qamrovli taʼlim kampaniyasini oʻtkazdilar, ularga kontratsepsiya boʻyicha baʼzi koʻrsatmalar taklif qilindi. Harbiylar poklik tarafdorlarining bosimi ostida prezervativlardan foydalanishdan bosh tortdilar, bu esa AQShni Birinchi Jahon urushida oʻz qoʻshinlariga prezervativ yetkazib bermagan yagona harbiy kuchga aylantirdi.","Bu qaror faqat Nyu-Yorkda amal qilib, shifokor nazorati ostida tug'ilishni nazorat qilish klinikalarini ochishga yo'l ochdi. Sanger bu imkoniyatdan darhol foydalanmadi, buning o'rniga yozish va ma'ruza qilishga o'tdi. Birinchi jahon urushi paytida harakat kuchaydi, chunki ko'plab askarlarda jinsiy yo'l bilan yuqadigan kasalliklar aniqlangan edi. Harbiylar ta'lim kampaniyasi o'tkazdi, lekin poklik tarafdorlari bosimi ostida askarlarga prezervativ bermadi — bu AQShni bunday qilgan yagona davlatga aylantirdi."
"AGM-158 JASSM ( [ʤæzm] „Jazm“ qisqartma inglizcha: Joint Air-to-Surface Standoff Missile) „Lockheed Martin“ korporatsiyasi tomonidan ishlab chiqilgan Amerika yuqori aniqlikdagi havodan yerga qanotli raketasi hisoblanadi. Muhim, har qanday ob-havo sharoitida va kunning istalgan vaqtida yuqori darajada himoyalangan statsionar va harakatlanuvchi nishonlarni (kvazistatsionar), dushman havo hujumiga qarshi mudofaa tizimlari chegarasidan tashqaridagi masofadan yoʻq qilish uchun moʻljallangan qurol hisoblanadi. Usbu raketa turbojetli dvigatel bilan ish faoliyatini yuritadi. Ushbu qurolga yuqori darajadagi elektron himoyaga ega GPS sunʼiy yoʻldosh signal qabul qilgichidan toʻgʻrilangan inertial boshqaruv tizimi bilan bir qatorda parvozning yakuniy bosqichida ishga tushadigan zamonaviy infraqizil boshcha va shu bilan birgalikda, avtonom maqsadni aniqlash tizimi bilan ham jihozlangan. 2012-yil holatiga koʻra, JASSM quyidagi tashuvchilarning qurollanishiga kiritilgan: B-1, B-2 va B-52H, F-15E, F-16 va F/A18 bombardimonchilar bilan integratsiya boʻyicha ishlar olib borilmoqda, F-35 bombardimonchisi bilan ham integratsiya kelajakda rejalashtirilgan.","AGM-158 JASSM — ""Lockheed Martin"" ishlab chiqargan Amerika yuqori aniqlikdagi qanotli raketasi. U har qanday ob-havoda, dushman mudofaasi chegarasidan tashqaridan turib himoyalangan nishonlarni yo'q qilish uchun mo'ljallangan. Raketa turbojet dvigatel bilan ishlaydi, GPS va infraqizil boshqaruv tizimiga ega. 2012-yilga kelib u B-1, B-2, B-52H, F-15E, F-16 va F/A-18 samolyotlariga moslashtirilgan, F-35 bilan integratsiya rejalashtirilgan."
"Shuningdek, ikkita raqobatdosh dizaynga mos ravishda AGM-158A va AGM-159A indekslari berilgan. 1983-yil aprel oyida „Lockheed Martin“ JASSM ning EMD dizayni va ishlab chiqish bosqichi uchun shartnomani imzolashga erishilgan. Patent uchun ariza 1984-yil 3-avgustda Kaliforniyaning Palmdele shahridagi „Skunk“ zavodlari („Lockheed Martin“ shoʻba korxonasi) tomonidan topshirilgan va 1984-yil 14-dekabrda olingan. 1984-yil uchun mavjud boʻlgan rejalarga koʻra, Harbiy havo kuchlari 4900 ta JASSM va AQSh harbiy-dengiz kuchlari uchun 453 ta raketa sotib olishni koʻzda tutishgan. Qurolning seriyali namunasi taxminan 400 ming AQSH dollarni tashkil qilgan. 2000-yil holatiga koʻra, AQSh Harbiy-havo kuchlari 4900 ta AGM-158 quroliga ehtiyoj sezishgan. AGM-158A ning asosiy modifikatsiyasini toʻliq miqyosda ishlab chiqarishni boshlash 1994-yil may oyida tasdiqlangan. 2003-yil may oyiga kelib, Harbiy havo kuchlariga pudratchi tomonidan 600 ga yaqin raketa yetkazib berilgan.","Raqobatdosh dizaynlarga AGM-158A va AGM-159A indekslari berilgan. 1983-yilda ""Lockheed Martin"" bilan JASSM ishlab chiqish shartnomasi tuzilgan. Harbiy havo kuchlari 4900 ta, harbiy-dengiz kuchlari esa 453 ta raketa sotib olishni rejalashtirgan. Bitta raketa narxi taxminan 400 ming dollarni tashkil etgan. 2003-yilga kelib harbiy havo kuchlariga 600 ga yaqin raketa yetkazib berilgan."
"Raketalarni ishlab chiqarish Lockheed Martin raketalari va yongʻinni boshqarish tizimlari boʻlimi Florida shtatining Okala shahridagi elektrotexnika zavod korxonalarida tashkil etilgan. U yerda raketa parvozlarini boshqarish tizimining elektron dasturiy va apparat komplekslari ishlab chiqarilgan va Troyadagi raketa zavodi, Alabama, aerodinamik raketa komponentlarini ishlab chiqarish hamda yigʻish, muhandislik, muntazam texnik xizmat koʻrsatish va boshqa tadbirlar uchun mas’ul boʻlgan boʻlinmaning Florida shtatidagi Orlando shahridagi markaziy ilmiy-tadqiqot inshootida amalga oshirilgan. Asosiy pudratchi sifatida „Lockheed“ kompaniyasidan tashqari, fuselaj yuzasining 95 % „Fiber Innovations, Inc.“ kompaniyasining Massachusets shtati Walpole shahridagi polimer materiallari fabrikasida uglerod tolasidan ishlab chiqarish yoʻlga qoʻyilgan. Bundan tashqari, alohida butlovchi qismlar, agregatlar, ehtiyot qismlar va butlovchi qismlarni ishlab chiqarishda 20 ga yaqin tijorat tuzilmalari jalb qilingan.","Raketalar Florida shtatining Okala va Orlando shaharlaridagi, shuningdek Alabamadagi zavodlarda ishlab chiqariladi. ""Lockheed""dan tashqari, korpusning 95 foizini ""Fiber Innovations"" kompaniyasi tayyorlaydi. Ishlab chiqarishda yana 20 ga yaqin kompaniya ishtirok etadi."
"Garchi 1919 va 1920-yillarda tugʻilishni nazorat qilish boʻyicha sharhni nashr etish ishlari bilan band boʻlgan boʻlsa-da, oʻsha paytda Sanger tugʻilishni nazorat qilish boʻyicha asosiy tashkilotlar (NBCL yoki VPL) bilan rasman bogʻlanmagan. 1921-yilda u professional jamiyatlar va ilmiy hamjamiyat tomonidan qoʻllab-quvvatlanish uchun rasmiy tashkilot bilan aloqa qilishi kerakligiga amin boʻldi. Sanger mavjud tashkilotga qoʻshilish oʻrniga yangisini yaratish haqida oʻyladi. Birinchi qadam sifatida u 1921-yil noyabr oyida New York shahrida boʻlib oʻtgan tugʻilishni nazorat qilish boʻyicha birinchi Amerika konferensiyasini tashkil qildi. Tadbirning soʻnggi kechasida Sanger gavjum Town Hall teatrida nutq soʻzlashga tayyorlanayotganda politsiya yigʻilishga bostirib kirdi va uni tartibsizlik uchun hibsga oldi.","1919–1920-yillarda Sanger jurnal nashr etish bilan band bo'lgan, lekin biror tashkilotga rasman a'zo emasdi. 1921-yilda u yangi tashkilot tuzishga qaror qildi va Nyu-Yorkda tug'ilishni nazorat qilish bo'yicha birinchi Amerika konferensiyasini o'tkazdi. Konferensiya oxirida u nutq so'zlamoqchi bo'lganda politsiya bostirib kirib, uni hibsga oldi."
"JASSM dasturi boʻyicha ishlarni muvofiqlashtirish boʻyicha markaziy ofis Floridadagi Eglin havo kuchlari bazasida boʻlgan. 2008-yilda „Lockheed Martin“ bilan yana 111 ta raketa ishlab chiqarish boʻyicha 107 million dollarlik yettinchi shartnoma tuzilgan. Shundan keyin buyurtma qilingan raketalarning umumiy soni 1053 tani tashkil qilgan. JASSM ogʻirligi taxminan 450 kg boʻlgan J-1000 (seriya belgisi WDU-42/B) unitar penetratsion jangovar kallak bilan jihozlangan. Jang kallagining korpusi volfram qotishmasidan yasalgan boʻlgan hamda 109 kg yuqori samarali past sezgir portlovchi AFX-757 bilan jihozlangan. AGM-158 JASSM-ER (AGM-158V) ning modifikatsiyasi ishlab chiqilgan boʻlib, u kattaroq yonilgʻi baklaridagi raketaning asosiy versiyasidan, shuningdek, yanada tejamkor „Williams International“ turbojetli dvigatel (oldingi bir pallali oʻrniga „Williams F112“ asosida) F-107-WR-105 orqali ajralib turgan.","JASSM dasturini muvofiqlashtirish markazi Floridadagi Eglin havo bazasida joylashgan. 2008-yilda yana 111 ta raketa uchun 107 million dollarlik shartnoma tuzilib, buyurtmalar soni 1053 taga yetgan. Raketa vazni taxminan 450 kg bo'lib, 109 kg portlovchi modda bilan jihozlangan jangovar kallakka ega. Uning masofasi kattaroq versiyasi — JASSM-ER ham ishlab chiqilgan."
"Uning Muqaddas Rim imperiyasi chegarasida joylashganligi shaharga ma'lum darajada mustaqillikni saqlab qolish imkonini berdi. Uning Brabant bilan aloqasi shaharning oq va qizil gerbida, Lotaringiya ranglarida saqlanib qolgan. Aalstda toʻqimachilik sanoati hali ham yaxshi rivojlangan. Aalst nafaqat to'qimachilik, kiyim-kechak va poyabzal ishlab chiqaradi, balki ko'plab kerakli mashinalarni ishlab chiqaradi. Qishloq hududlari ko'p ishlab chiqarish bilan ajralib turadi.Ular, shuningdek, mintaqada katta faol kesish gul biznesiga ega. Aalst har yili Lentdan oldin nishonlanadigan karnaval bayramlari bilan mashhurdir. Ushbu bayram paytida shahar hokimiyatining sobiq qo'ng'iroqxonasi an'anaviy ""piyoz otish"" joyidir. Shahzoda Karnaval taxtga saylanadi va unga uch kun davomida shaharni ""hukmronlik qilish"" uchun ruxsat beriladi.","Shaharning Muqaddas Rim imperiyasi chegarasida joylashgani unga ma'lum mustaqillik bergan. Aalstda to'qimachilik, kiyim-kechak, poyabzal va gul biznesi rivojlangan. Shahar Lentdan oldin nishonlanadigan karnaval bayrami bilan mashhur bo'lib, bu paytda shahzoda uch kun ""hukmronlik"" qiladi."
"Yakshanba kuni shahar bo'ylab 70 ga yaqin ko'ngilochar va parad mashinalari bilan katta parad o'tadi.Bayram an'anaga ko'ra seshanba kuni kechqurun bo'lib o'tadi va ""Qo'g'irchoqning yonishi"" bilan yakunlanadi. So'nggi yillarda karnaval yahudiylarga nisbatan kamsituvchi tasvirlar qayta-qayta qo'llanilganligi sababli antisemitizmda ayblangan. Belgiya televideniyesi politsiya dramasi Aalstda suratga olingan. Belgiyaning “O‘rmon o‘g‘rilari” tarixiy dramasi Aalst va uning atrofida joylashgan. Daens filmi Aalstda bo'lib, u Adolf Daens haqida. Rejissyor Stijn Koninks hisoblanadi. Stijn Koninksning ""Niet Schieten"" filmi Aalstda suratga olingan va ommaga taqdim qilingan. Aalst temir yo'l stantsiyasi Aalst Kerrebroek temir yo'l stantsiyasi Erembodegem temir yo'l stantsiyasi Aalst bir nechta professional jamoalarga ega: Okapi Aalstar basketbol klubi Ikkinchi divizionda o'ynaydigan Eendracht Aalst futbol klubi. 1960-yillarda tashkil etilgan VK Aalst voleybol klubi birinchi divizionda o'ynaydi. MotoGP jamoasi Repsol Honda Belgiyaning Aalst shahrida joylashgan.","Yakshanba kuni shahar bo'ylab 70 ga yaqin mashina bilan katta parad o'tadi, bayram esa ""Qo'g'irchoqning yonishi"" bilan yakunlanadi. Karnaval yahudiylarga nisbatan kamsituvchi tasvirlar tufayli antisemitizmda ayblangan. Aalstda bir nechta film suratga olingan va shaharda basketbol, futbol hamda voleybol klublari mavjud."
"Aari yoki Ari — janubiy Efiopiyada soʻzlashuvchi omot tillari oilasining tili. Ushbu tilda soʻzlashuvchilar shankilla (yoki shankella) nomi bilan maʼlum boʻlib, Ular koʻpchilikni tashkil etmaydi""; so‘zlovchilarning ko‘pchiligi savodsiz. Yangi Ahdning birinchi Aari tarjimasi 1997-yilda nashr etilgan. 1800-yillarning oxirida Amhara hukmdorlari Efiopiya imperatori Menelik II tomonidan Omo daryosiga surgun qilingan. 1900-yillarning boshlariga kelib, Amhara hukmdorlari mintaqaning egalariga, Shanquilla esa serflarga aylandi. Biroq, 1974-yilda monarxiya agʻdarildi va Aari soʻzlovchilari oʻzlarining milliy yerlarini qaytarib olishga muvaffaq boʻlishdi. Oʻshandan beri ijtimoiy va iqtisodiy vaziyat juda yaxshilandi, taʼlimga qiziqish kuchaydi;"" Aari soʻzlashuvchilar yashaydigan koʻpgina shaharlarda kamida bitta maktab bor. Aksariyat jamoalarda pravoslav cherkovi bor, ammo Aari soʻzlashuvchilarning sezilarli aholisi bor, ular ham oʻzlarining anʼanaviy eʼtiqodlariga amal qilishadi. 2007-yilgi aholini roʻyxatga olish maʼlumotlariga koʻra, Aari tilida soʻzlashuvchilar soni taxminan 253 ming kishini tashkil etdi, shundan 129 350 kishi faqat oʻz tilida gaplashadi. 13319 kishi Aari tilini ikkinchi til sifatida biladi.","Aari — janubiy Efiopiyada so'zlashuvchi til bo'lib, so'zlovchilari shankilla deb ataladi va ularning aksariyati savodsiz. 1900-yillar boshida ular serflarga aylantirilgan, ammo 1974-yilda monarxiya ag'darilgach o'z yerlarini qaytarib olishgan. Hozir ularning yashash sharoiti yaxshilangan va ko'p joyda maktablar bor. 2007-yilgi ro'yxatga olishga ko'ra, Aari tilida taxminan 253 ming kishi so'zlashadi."
