text,text_simplified
"Bu davrda Xorazmda oʻzgarishlar boʻlib, Maʼmun vafot etib, uning oʻrniga Ali ibn Maʼmun taxtga chiqqan edi. 997-yilda mashhur tabib Abu Ali Ibn Sino ham Urganchga keladi. 998-yil Beruniy Jurjonga keldi. U Jurjonda 1004-yilgacha yashaydi. Oʻzining oʻn beshga yaqin asarini shu yerda yaratdi. Jumladan, olimning „Qadimgi xalqlardan qolgan yodgorliklar“ asari 1000-yil atrofida shu yerda yozilgan. 1004-yilning bahorida Beruniy Xorazmga qaytdi. Bu vaqtda Xorazmning poytaxti Urganj edi. Urganchda u Oy tutilishini kuzatdi. Saroyda al-Masihiy, tabib al-Hammar, Ibn Iroq va boshqalar ishlar edilar. Urganjda Beruniy matematika, astronomiya bilan bir qatorda fizika va mineralogiyaning baʼzi masalalari bilan shugʻullandi. Minerallarni aniqlash, ularni tizimga solishda solishtirma ogʻirliklardan foydalanish gʻoyasi ham mana shu yerda tugʻildi. 1017-yilning yozida turkiy podsho Mahmud Gʻaznaviyning buyrugʻiga koʻra Beruniy asir sifatida Gʻaznaga olib ketildi.","Bu davrda Xorazmda Ma'mun vafot etib, o'rniga Ali ibn Ma'mun kelgan. Beruniy Jurjonga borib, u yerda o'n besh ga yaqin asar yozgan, jumladan ""Qadimgi xalqlardan qolgan yodgorliklar"". 1004-yilda Xorazmga qaytib, Urganchda ilmiy ish olib borgan. 1017-yilda u Mahmud G'aznaviy tomonidan asir sifatida G'aznaga olib ketilgan."
"Oʻsha paytda Xorazmdagi hukmron Afrigʻiylarga xayrixoh edi, 995-yil Katni, Xorazmning ikkinchi poytaxti, Gurganj (Urganch)ning amiri Maʼmun ibn Muhammad bosib oladi va Afrigʻiylar sulolasini taxtdan agʻdardi va natijada Beruniy vatanini tashlab Buxoroga ketdi. U yerda u Ibn Sino bilan yozishmalar olib borgan va bu ikki olim oʻrtasida fikr almashilgan. U oʻzining „Geodeziya“ asarida 990-yil Kat shahrining geografik kengligini aniqlaganini yozadi. Maʼlumki, geografik kenglikni aniqlash uchun geografiya, matematika va astronomiyadan yetarlicha bilimga ega boʻlish lozim. Ray shahriga (hozirgi Tehron yaqinida) keladi. U Rayda mashhur olim — matematik va astronom al-Xoʻjandiy, tabib va faylasuf ar-Roziylar bilan tanishadi. Beruniy Rayda oʻzining „Al-Faxriy sekstanti“ risolasini yozadi. 997-yil Beruniy Katga qaytdi.","995-yilda Ma'mun ibn Muhammad Xorazmning hukmron sulolasini ag'darib tashlagan, shu sabab Beruniy Buxoroga ketib, u yerda Ibn Sino bilan yozishgan. Keyin Ray shahriga borib, u yerdagi olimlar bilan tanishgan va ""Al-Faxriy sekstanti"" asarini yozgan. 997-yilda Beruniy Katga qaytgan."
"Abu Rayhon Muhammad ibn Ahmad Al-Beruniy (4-sentyabr, 973-yil, Kat (hozirgi Qoraqalpogʻistonning Beruniy tumani), Xorazm, — 13-dekabr, 1048-yil, Gʻazna) — Islom oltin davrining zabardast Xorazmlik qomusiy allomalaridan biri. Turkiy olim sifatida ilmiy jihatdan muhim hisoblangan koʻplab asarlar yozib qoldirgan. Gʻarb mamlakatlarida uning ismi Aliboron deb ham atalgan. Al-Beruniy nomi forscha „birun“ („chet“ degan maʼnoni anglatadi) soʻzidan olingan boʻlib, u Afrigʻiy Xorazmshohlar poytaxti Kat shahrining chekka tumanida tugʻilgan. Beruniy oʻz hovlisida turli gullarni parvarishlashni yoqtirgani uchun unga „Rayhon“ laqabini ham berishadi. Al-Beruniy hayotining dastlabki 25 yilini Xorazmda oʻtkazdi, u yerda islom, fiqh, ilohiyot, grammatika, riyoziyot, falakiyot, tibbiyot va falsafa, fizika va boshqa ilmlar bilan ham shugʻullandi.","Abu Rayhon Beruniy (973–1048) — Islom oltin davrining zabardast xorazmlik qomusiy olimi. U Kat shahrida tug'ilgan va hayotining dastlabki 25 yilini Xorazmda islom, matematika, falakiyot va boshqa fanlarni o'rganishga bag'ishlagan."
"0,(9) yoki 0,999… („nol va davrda toʻqqiz“) matematikada oʻnli davriy kasr boʻlib, 1ga tengdir. Yaʼni „0,999…“ ham, „1“ ham aynan bir sondir. Ushbu ayniyatni isbotlovchi bir necha matematik isbot mavjud. Masalan: 1 3 0,333 … 0 , ( 3 ) ""; 1 3 ⋅ 1 3 0,999 … 0 , ( 9 ) . yoki x 0 , ( 9 ) ; 10 x 9 , ( 9 ) ; 10 x − x 9 , ( 9 ) − 0 , ( 9 ) ; 9 x 9 , 0 ;"" x 1.","0,(9), ya'ni 0,999... matematikada 1 ga teng bo'lgan o'nli davriy kasr hisoblanadi. Bu ayniyatni bir necha matematik usul bilan isbotlash mumkin."
"Qolganlarini quyidagicha taqsimlash mumkin: matematikaga doirlari — 22 ta""; astronomik asboblar haqida — 10 ta; astrologiklari — 21 ta; turli fanlar (fizika, mineralogiya, adabiyot, tarix va boshqalar) — 38 ta;"" turli tillardan tarjima asarlar — 21 ta. Beruniyning bu asarlaridan atigi 30 ga yaqini bizning kunlargacha yetib kelgan. Beruniy yoshligidayoq koʻp vaqtini turli kuzatishlar bilan oʻtkazgan. U bolaliastronomik asbob yasagan. Xorazmning turli joylari koordinatalarini aniqlash bilan shugʻullangan va 995–996-yillarda Kat shahrida diametri 15 ziroʻ (Ziroʻ — qadimgi oʻlchov birligi, 49 santimetr chamasida) boʻlgan doira va boshqa asboblar bilan astronomik oʻlchash ishlarini olib borgan. Beruniyning 152 asari maʼlum boʻlib, bizgacha uning faqat 30 tasi yetib kelgan.","Beruniyning asarlari matematika, astronomiya, astrologiya va boshqa fanlarga oid bo'lib, ulardan atigi 30 tasi bizgacha yetib kelgan. U yoshligidayoq astronomik asboblar yasab, Xorazmning turli joylarida o'lchash ishlarini olib borgan. Beruniyning 152 asari ma'lum, lekin faqat 30 tasi saqlanib qolgan."
"16S rRNK — prokaryotik organizmlar ribosomalarning asosini tashkil etuvchi rRNKning uchta asosiy turidan biri hisoblanadi. Prokaryotik mikroorganizmlarda jami uch xil rRNK topilgan: 23S va 5S ribosomaning katta boʻlinmasida (50S), 16S esa ribosomaning kichik boʻlinmasida (30S) joylashgan. Bu ribosomal RNKdagi S ning manosi shuki — makromolekulalarning choʻkish tezligini bildiradi. Qancha makromolekula katta boʻlsa raqamham shuncha kattalashib boradi. Bu uchta tur ribosomalar eukaryotik organizmlarda ham uchraydi faqat 16S rrnk oʻrniga analogi 18S rrnk boʻladi. Bugungi kunga qadar 16S rRNK va 18S rRNKdagi nukleotidlar ketma-ketligi turli yovvoyi tabiatning 400 dan ortiq turlarida oʻrganilgan. 16S rRNK gen ketma-ketligi asosan bakteriyalar va arxeyalarning filogenetikasini oʻrganishda qoʻllanadi. 2010-yildan buyon ushbu mavzu boʻyicha tadqiqotlarni birlashtirgan Earth Microbiome loyihasi ishga tushirildi.","16S rRNK — prokaryotik organizmlar ribosomasining asosiy qismlaridan biri bo'lib, kichik ribosoma bo'linmasida joylashadi. Eukaryotlarda uning o'rniga 18S rRNK bo'ladi. 16S rRNK ketma-ketligi bakteriya va arxeylarning kelib chiqishini o'rganishda ishlatiladi."
"Shuningdek, 16S rRNK gen ketma-ketligi patogen bakteriyalar boʻyicha tibbiy tadqiqotlar uchun ishlatiladi.. 16S rRNK birinchi boʻlib 1959-yilda Eyzenberg va Litaur Escherichia coli bakteriyaning RNKsining fizik xususiyatlarini oʻrganish boʻyicha tajribalar davomida ajratib olingan. RNK va DNK eritmalarining qovushqoqliklarini solishtirishga asoslanib, ular RNKni bir zanjirli molekula ekanligini aniqladi. Bakterial hujayralardan ajratilgan RNK molekulalarini ajratishda choʻkma koeffitsientlari qiymatlarida farq qiluvchi ikkita RNK fraktsiyasi aniqlandi. Engil fraktsiya uchun koeffitsient 16S ga, ogʻirroq fraktsiya uchun esa 25S ga teng boʻLgan. Keyinchalik, 1960-yillarda A. Belozerskiy va A. Spirin rRNK barcha hujayra RNKsining 80-90 % ni tashkil etishini aniqladilar. Shuningdek, ular birinchi marta prokaryotik va eukaryotik organizmlarda rRNKning tuzilishi va tarkibidagi farqni tasvirlab berdilar.",16S rRNK gen ketma-ketligi patogen bakteriyalarni tibbiy tadqiq qilishda ham ishlatiladi. Uni birinchi bo'lib 1959-yilda olimlar E. coli bakteriyasidan ajratib olishgan. Keyinchalik rRNK hujayra RNKsining aksariyat qismini tashkil etishi aniqlangan.
"Yoqut Al-Xamaviyning fikricha „Masʼud qonuni“ kitobi matematika va astronomiya boʻyicha ungacha yozilgan barcha kitoblarning izini oʻchirib yuborgan. Olim Sulton Masʼudning oʻgʻli Mavdudning hukumronlik yillarida (1041–1049) oʻzining „Mineralogiya“ va „Farmakognoziya“ deb atalgan ikki asarini yozadi. Ularning har biri mazkur sohalardagi betakror asarlardan boʻlib, jahon madaniyatiing noyob durdonalaridan hisoblanadi. Abu Rayxon Beruniy 1048-yili Gʻaznada vafot etadi. Olim yozib qoldirgan 150 ga yaqin asarlari bilan astronomiya, astrologiya, matematika, geodeziya, geologiya, mineralogiya, geografiya, arifmetika, tabobat, farmokognoziya, tarix, filologiya va boshqa fanlarning rivojiga noyob xissa qoʻsha oldi. Beruniyning betakror ijodi uning vatani Oʻzbekistonda alohida eʼtibor qozongan. Al-Beruniyning aksariyat asarlari arab tilida boʻlsa-da, u „Kitob at-Tafhim“ni fors va arab tillarida yozib, bu ikkala tilda ham yoza olish mahoratini koʻrsatgan.","Yoqut Al-Xamaviyning fikricha, ""Mas'ud qonuni"" kitobi undan oldingi barcha ilmiy kitoblarni ortda qoldirgan. Beruniy ""Mineralogiya"" va ""Farmakognoziya"" asarlarini ham yozgan. U 1048-yilda G'aznada vafot etib, 150 ga yaqin asar bilan ko'p fanning rivojiga hissa qo'shgan."
"Beruniyning 65-qamariy/63-shamsiy yilgacha (427/1036-yil oxiri) yozilgan adabiy asarlari roʻyxatida 12 toifaga boʻlingan 103 ta nom keltirilgan: astronomiya, matematik geografiya, matematika, astrologiya xususiyatlari va tranzitlar, astronomik asboblar, xronologiya, kometalar, nomsiz turkum, astrologiya, latifalar, dinga oid va boshqa kitoblar. Takhqīq mā li-l-Hind (Hindistondagi voqealarning tanqidiy tadqiqoti, qabul qilish yoki rad etish sababi""; تحقيق ما للهند من مقولة معقولة في العقل أو مرذولة), xalq orasida Kitāb al-Hind (Hindiston haqida kitob) nomi bilan mashhur); Ingliz tilidagi tarjimalarida Indica yoki Al-Beruniyning Hindistoni deb ataladi. Bu asar Hindiston dini va falsafasining toʻplamidir. Kitob at-tafhim li avoili sinoat al-tanjim (Astrologiya sanʼati elementlari boʻyicha koʻrsatmalar kitobi);"" Forscha. Qadimgi xalqlardan qolgan yodgorliklar (الآثار الباقية عن القرون الخالية), madaniyatlar va sivilizatsiyalar taqvimlarining qiyosiy tadqiqi (xristian diniga oid bir qancha boblarni oʻz ichiga oladi), unda matematik, astronomik va tarixiy maʼlumotlar keltirilgan.","Beruniyning 1036-yilgacha yozilgan asarlari ro'yxatida 12 toifaga bo'lingan 103 nom bor. Uning eng mashhur asari ""Hindiston haqida kitob"" bo'lib, unda Hindiston dini va falsafasi to'plangan. ""Qadimgi xalqlardan qolgan yodgorliklar"" asarida esa turli xalqlarning taqvimlari qiyoslangan."
"Aerodinamik kuch — suyuqlik (gaz)da harakat qilayotgan jism sirtiga taʼsir etuvchi kuch. Quyidagi formuladan aniqlanadi: bunda: suyuqlik (gaz)ning jismdan uzoqdagi zichligi, v — jism tezligi; S—aerodinamik koeffisient; S — jismning kesim yuzi. Harakatdagi jism sirtining har bir unsuriga taʼsir etuvchi Aerodinamik kuchlarni bitta teng taʼsir etuvchi kuch bilan almashtirish mumkin (toʻla Aerodinamik kuch va bosh moment — aerodinamik moment). Aerodinamik kuchni uchta proeksiyaga ajratish mumkin: Harakat yoʻnalishiga qarshi boʻlgan kuch — aerodinamik qarshilik X\ Tezlik yoʻnalishiga perpendikulyar boʻlgan koʻtarish kuchi U;"" Yon kuch — A va Y kuchlarga perpendikulyar kuch. Tula Aerodinamik kuch baʼzan toʻla aerodinamik qarshilik deb ataladi.""","Aerodinamik kuch — suyuqlik yoki gazda harakatlanayotgan jismga taʼsir qiluvchi kuch. U jismning tezligi va shakliga bogʻliq formula bilan hisoblanadi. Jism sirtining turli qismlariga taʼsir etuvchi kuchlarni bitta umumiy kuch bilan almashtirish mumkin — bu toʻla aerodinamik kuch deyiladi. Uni uchga ajratish mumkin: harakatga qarshi qarshilik kuchi, tezlikka perpendikulyar koʻtarish kuchi va ularga perpendikulyar yon kuch. Toʻla aerodinamik kuch baʼzan toʻla aerodinamik qarshilik deb ham ataladi."
