"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score"
"wikipedia","Genetika","https://uz.wikipedia.org/wiki/Genetika","12","Bunday kolleksiyalar gʻoʻzaning monosom va translokatsion liniyalari boʻyicha ham barpo etilgan. Keyingi yillarda genetika sohasidagi tadqiqotlar Genetika va oʻsimliklar eksperimental biologiyasi institutit ham olib borildi. Gʻoʻza sitogenetikasi va seleksiyasi sohalaridagi tadqiqotlarning rivojlanishiga S. S. Kanash, L. Genetika Arutyunova, F. M. Mauyer, A. A. Abdullayev, A. I. Avtonomov, L. V. Rumshevich, S. M. Mirahmedov, S. S. Sodiqov, B. P. Straumal va boshqalar katta hissa qoʻshdi. N. N. Nazirov, O. J. Jalilov olib borgan tadqiqotlar asosida radiobiologiya, radiatsion seleksiyaning nazariy va amaliy asoslari ishlab chiqildi. Gʻoʻza mutagenezi sohasida bir qancha muhim tadqiqotlar olib borildi (Sh. I. Ibrohimov, A. E. Egamberdiyev va boshqalar).","100","760","3.33","6.18","0.29","0.326"
"kun.uz","Qamchiq dovonida “Lasetti” yonib ketdi.","https://kun.uz/news/2026/07/11/qamchiq-dovonida-lasetti-yonib-ketdi-54bb8e","2","Hozirda yong‘in sababi va moddiy zarar miqdori aniqlanmoqda. Hodisa oqibatida tan jarohati olganlar yo‘q. Mavzuga oid 10:15 / 01.07.2026 Qamchiqda yonilg‘i tashuvchi maxsus avtomobil YTHga uchradi 14:06 / 11.06.2026 Qamchiq dovonida avtomobil jarlikka tushib ketdi 08:46 / 18.05.2026 Qamchiqda tog‘da adashgan 7 nafar fuqaro qutqarib qolindi 18:30 / 28.04.2026","49","360","3.64","6.03","0.375","0.351"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","8","Hozircha o‘sha Instagram. Bu ham bir kun yo‘q bo‘ladi. Hamma narsa aylanib kelaveradi. Endi qachon yo‘q bo‘ladi, uni Alloh biladi. O‘sha qo‘rqmaslik kerak. Allohning aytganini qilish kerak. Rizqni beraveradi. Vayndan keyin. O‘zi shunaqa chevar, shunaqa yo‘lini qilib qo‘yadi. Men oldin qo‘rqardim. Rostdan ham Allohni tanimasdan oldin men qo‘rqardim. Ertaga nima bo‘ladi, nima qilaman, och qolsak-chi, unaqa qilsak-chi, qayg‘uga botar edim. Hozir bitta ham qayg‘urmayman. Chunki Allohim bor. Mehribon.” “To‘rtta chaqaloq. To‘rt quti bo‘tqa” Fotima Nazarovaning fikrlariga Shahzoda Albayeva qo‘shimcha qildi. “Bizni hayot shunaqa tarbiyalab qo‘ydi-da. Biz och qolishdan yoki rizqimiz kelmay qolishidan qo‘rqmaydigan bo‘lib qoldik. Qo‘rqmayman. Qiyinchiliklar shunaqa qilib qo‘ydi desak ham bo‘ladi.","103","797","6.24","4.85","0.359","0.353"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","7","Nima bo‘ladi keyin? Shu haqida o‘ylaganmisizlar deb so‘radik ulardan. “O‘ylaganman”, – deydi Shahzoda. “Aytaman-ku, birxillikdan zerikaman deb. Bu yo‘nalishdan ham zerikib qolmayman deb javob bera olmayman o‘zimga. Izlaganga yo‘l ko‘p. Xavotir olmaymiz. Rizq berguvchi Alloh. Bizning shiorimiz shu. Rizq Allohdan. Biz bu yo‘nalishda bo‘lamizmi, boshqa yo‘nalishda bo‘lamizmi, mana shu nonimiz keladi baribir. Qo‘rquv yo‘q. Yo‘q, yo‘q, umuman qo‘rqmaslik kerak”. “Vaynlar vaqtinchalik!” Fotima opa Siz nima deb o‘ylaysiz, vaynlarning umri qancha, qancha vaqtdan keyin vaynlarni xalq qabul qilmay qo‘yadi, sizningcha? “Menimcha, tegirmon navbati bilan deydi-ku. Bir mahallar kino zo‘r edi. Undan keyin seriallar zo‘r bo‘ldi. Serialdan keyin sekin-sekin komediya rivojlandi. Mana eng qisqasi vaynlar, endi odamlarning boshqasiga sabri qolmadi.","108","840","6.6","5.07","0.386","0.374"
"wikipedia","Gubkin nomidagi Rossiya Davlat neft va gaz universitetining Toshkent filiali","https://uz.wikipedia.org/wiki/Gubkin_nomidagi_Rossiya_Davlat_neft_va_gaz_universitetining_Toshkent_filiali","4","I. M. Gubkin nomidagi Rossiya davlat neft va gaz universiteti (NRU) Toshkent shahridagi filiali va IP MCHJ „SANOAT ENERGETIKA GURUHI“ oʻrtasida oʻzaro anglashuv memorandumi. I. M. Gubkin nomidagi Rossiya davlat neft va gaz universiteti (NRU) Toshkent shahridagi filiali va Rossotrudnichestvoning Oʻzbekiston Respublikasidagi vakolatxonasi oʻrtasida hamkorlik memorandumi imzolandi.","47","381","7.83","6.87","0.149","0.376"
"kun.uz","Argentina ham yarimfinalga chiqdi.","https://kun.uz/news/2026/07/12/argentina-ham-yarimfinalga-chiqdi","3","Mavzuga oid 14:50 / 11.07.2026 JCh anonsi. Holand Keynga qarshi, Argentinada ilk jiddiy raqib 10:18 / 08.07.2026 JCh kundaligi. Messida rekord va antirekord, Shveytsariya kuchli sakkizlikda 08:49 / 08.07.2026 Argentinada afsonaviy 13 daqiqa. Amaldagi chempionlar kambek qilishdi 17:30 / 07.07.2026","40","297","2.25","6.93","0.444","0.377"
"uza.uz","Xoland: “Angliyani mag‘lub etishga juda yaqin edik”","https://uza.uz/uz/posts/xoland-angliyani-maglub-etishga-juda-yaqin-edik_881722","2","Bugungi uchrashuv oldidan imkoniyatlarni 50 ga 50 deb baholagandim. Angliya juda kuchli jamoa va bahs ham juda og‘ir kechdi”, — dedi Xoland. Eslatib o‘tamiz, Angliya JCH–2026 yarim finalida Argentinaga qarshi maydonga tushadi. Ikkinchi yarim finalda esa Ispaniya va Fransiya o‘zaro kuch sinashadi.","42","297","10.5","5.62","0.143","0.379"
"wikipedia","Hikoya","https://uz.wikipedia.org/wiki/Hikoya","3","Soʻzlab berilgan bunday voqelik oʻz qamrovi, hajmi, rang-barangligi bilan qissa yoki romanga xos boʻlishi ham mumkin. Bunday hollarda bu atama janr maʼnosida tushunilmaydi. Masalan, Oʻ.Hoshimovning „Ikki eshik orasi“ romani 9 personajning 49 ta hikoyasidan tashkil topgan. Sh. Xolmirzayev „Olaboʻji“ asarini „romandan katta hikoya“ deb ataydi. Hozirgi oʻzbek hikoyachiligi O.Muxtor, N.Aminov, S.Siyoyev, F.Musajonov, X.Sultonov, E.Aʼzamov, N.Eshonqulov, Sh. Boʻtayev va boshqa yozuvchilar bilan boyidi. Hikoya inson hayotida yuz bergan ixcham voqeani loʻnda ifodalashga moʻljallangan. Unda shu voqeaga qadar personaj hayotida nima boʻlgan, qanday roʻy bergan, kim bilan – bular toʻgʻrisida maʼlumot berish shart emas. Juda zarur boʻlsa, ayrim detallar orqali ishora qilinishi mumkin.","101","783","5.94","5.99","0.355","0.381"
"kun.uz","Toshkent Osiyodagi yashash uchun eng qimmat shaharlar reytingida 74-o‘rinda qayd etildi.","https://kun.uz/news/2026/07/11/toshkent-osiyodagi-yashash-uchun-eng-qimmat-shaharlar-reytingida-74-orinda-qayd-etildi-68d46d","2","Hindistonning o‘ndan ortiq shaharlari esa 17,3-18,8 ball bilan eng arzon shaharlar sifatida qayd etilgan. Reytingni tuzishda Nyu-Yorkdagi yashash qiymati olingan bo‘lib, unga 100 ball berilgan. Undan yuqori har bir ball yashash narxining bir foizga qimmatligini, har bir past ball esa arzonligini bildiradi. Misol uchun, Tsyurixda yashash narxi Nyu-Yorkdagidan 23,4 foizga qimmat, Toshkentda esa 68,6 foizga arzon. Mazkur indeksni tuzishda uy-joy ijarasi, oziq-ovqat, restoranlar, xarid qilish salohiyati kabilar hisobga olingan. Mavzuga oid 08:40 / 09.07.2026 JSST Markaziy Osiyoni jazirama xavfidan ogohlantirdi 18:06 / 08.07.2026 Yevropa va Markaziy Osiyoda jazirama issiqning yangi to‘lqinlari kutilmoqda - JSST 12:11 / 06.07.2026 O‘zbekistonda birinchi Xalqaro islom forumi boshlanmoqda 19:35 / 05.07.2026","106","810","6.93","6.19","0.289","0.383"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","12","O‘shanda kommentariyaga yozadi, shaxsiy direktimga yozishadi, ayol-qizlar juda ko‘p muammolari bilan. Aytaman, har kimning hayotidagi vaziyat har xil. Holatlar o‘xshash bo‘lishi mumkin, lekin vaziyat boshqacha. Agar oilani ushlab qoladigan vaziyat bo‘lsa, u vaziyatda imkon boricha ushlab qolish kerak deyman.” To‘liq intervyuni quyidagi havola orqali tomosha qiling. Mavzuga oid 22:11 / 26.04.2026 “10 ming dollar taklif qilishdi, lekin rad etdim” - Nilufar Umrzoqova pul, prinsip va tanlovlar haqida 19:00 / 11.04.2026 “Vaynlar vaqtinchalik, bularning orqasida faqat pul yotibdi” - aktyor Mehriddin Rahmatov bilan suhbat 14:47 / 04.05.2025 “Inter Milan” klubi har qanday jamoa uchun boshog‘riq bo‘la oladi” – Orif Tolipov 19:25 / 20.04.2025","102","742","6.79","5.71","0.358","0.387"
