text,text_simplified
"Sudyalar malaka hayʼatlari [OKOZ: 1.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.14.00 Sudyalar malaka hayʼatlari] Sudyalar malaka hayʼatlari quyidagi masalalarni koʻrib chiqish uchun tuziladi: sudyaning intizomiy javobgarligi""; sudyaning vakolatlarini toʻxtatib turish yoki muddatidan ilgari tugatish; sudyaning daxlsizligini taʼminlash; sudyaga malaka darajasini berish; xalq maslahatchilarini tanlash va ularning saylovini oʻtkazish boʻyicha ishlarni tashkil qilish;"" sudyaning qasamyodi va Sudyalar odobi kodeksiga rioya etilishi ustidan nazorat qilish. Sudyalar malaka hayʼatlari Oʻzbekiston Respublikasi Sudyalar oliy kengashining zimmasiga yuklatilgan vazifalarni bajarishida unga koʻmaklashadi. Sudyalar oliy malaka hayʼati Oʻzbekiston Respublikasi sudyalari qurultoyi tomonidan besh yil muddatga saylanadi. Oʻzbekiston Respublikasi Harbiy sudi, Qoraqalpogʻiston Respublikasi, viloyatlar va Toshkent shahar sudlari, Qoraqalpogʻiston Respublikasi, viloyatlar va Toshkent shahar maʼmuriy sudlari sudyalarining malaka hayʼatlari tegishli sudlar sudyalarining konferensiyalarida besh yil muddatga saylanadi.","Sudyalar malaka hay'ati sudyaning intizomiy javobgarligi, vakolatini to'xtatish yoki tugatish, daxlsizligi va malaka darajasi masalalarini hal qiladi. U shuningdek xalq maslahatchilarini saylash ishlarini tashkil qiladi va sudyalarning odob kodeksiga rioya etilishini nazorat qiladi. Sudyalar oliy malaka hay'ati sudyalar qurultoyida besh yilga saylanadi. Boshqa sudlarning malaka hay'atlari esa tegishli sudyalar konferensiyasida besh yilga saylanadi."
"Ushbu moddada nazarda tutilgan asoslar mavjud boʻlgan taqdirda: Oʻzbekiston Respublikasi Oliy sudi sudyasining vakolatlari — Oʻzbekiston Respublikasi Prezidentining taqdimnomasiga binoan Oʻzbekiston Respublikasi Oliy Majlisining Senati tomonidan""; viloyatlar va Toshkent shahar sudlari, viloyatlar va Toshkent shahar maʼmuriy sudlari, Oʻzbekiston Respublikasi Harbiy sudi raisining va rais oʻrinbosarining vakolatlari — Oʻzbekiston Respublikasi Sudyalar oliy kengashining taqdimnomasiga binoan Oʻzbekiston Respublikasi Prezidenti tomonidan; viloyatlar va Toshkent shahar sudlari, viloyatlar va Toshkent shahar maʼmuriy sudlari, Oʻzbekiston Respublikasi Harbiy sudi sudyasining, tumanlararo, tuman, shahar sudlari, harbiy sudlar raisining va sudyasining vakolatlari — tegishli sudyalar malaka hayʼati xulosasiga koʻra Oʻzbekiston Respublikasi Sudyalar oliy kengashi tomonidan;"" Qoraqalpogʻiston Respublikasi sudi, Qoraqalpogʻiston Respublikasi maʼmuriy sudi, tumanlararo, tuman, shahar sudlari sudyasining vakolatlari — Oʻzbekiston Respublikasi Sudyalar oliy kengashining xulosasi asosida Qoraqalpogʻiston Respublikasi Joʻqorgʻi Kengesi Raisi kiritgan taqdimnomaga binoan Qoraqalpogʻiston Respublikasi Joʻqorgʻi Kengesi tomonidan muddatidan ilgari tugatiladi.","Qonunda ko'rsatilgan asoslar bo'lsa, sudyaning vakolati muddatidan oldin tugatiladi. Oliy sud sudyasining vakolatini Prezident taqdimiga ko'ra Senat tugatadi. Viloyat va Toshkent shahar sudlari, harbiy sud raisi va o'rinbosarining vakolatini Sudyalar oliy kengashi taqdimiga ko'ra Prezident tugatadi. Boshqa sud raislari va sudyalarning vakolatini malaka hay'ati xulosasiga ko'ra Sudyalar oliy kengashi tugatadi. Qoraqalpog'iston sudlari sudyalarining vakolatini Qoraqalpog'iston Jo'qorg'i Kengesi tugatadi."
"Sudlar muhri [OKOZ: 1.01.00.00.00 Konstitutsiyaviy tuzum / 01.02.00.00 Davlat ramzlari. Poytaxt / 01.02.01.00 Davlat gerbi, madhiyasi, bayrogʻi] Sud Oʻzbekiston Respublikasi Davlat gerbining tasviri tushirilgan va oʻz nomi yozilgan muhrga ega boʻladi. 95-modda. Sudyalarning maxsus kiyimi [OKOZ: 1.01.00.00.00 Konstitutsiyaviy tuzum / 01.08.00.00 Oʻzbekiston Respublikasi Oliy Majlisi / 01.08.02.00 Oliy Majlis Senati (yuqori palatasi) / 01.08.02.01 Oliy Majlis Senati vakolati] Sudya odil sudlovni maxsus kiyimda amalga oshiradi, kiyim tavsifi va namunalari Oʻzbekiston Respublikasi Oliy Majlisining Senati tomonidan tasdiqlanadi. 96-modda. Sudyaning guvohnomasi [OKOZ: 1.01.00.00.00 Konstitutsiyaviy tuzum / 01.10.00.00 Oʻzbekiston Respublikasi Prezidenti / 01.10.02.00 Vakolat] Oʻzbekiston Respublikasi Oliy sudining raisiga, rais oʻrinbosarlariga va sudyalariga guvohnomalar Oʻzbekiston Respublikasi Prezidenti tomonidan beriladi.","Sud O'zbekiston davlat gerbi tasvirlangan va o'z nomi yozilgan muhrga ega bo'ladi. Sudya maxsus kiyimda ish yuritadi, kiyim namunasini Senat tasdiqlaydi. Oliy sud raisi, o'rinbosarlari va sudyalariga guvohnoma Prezident tomonidan beriladi."
"Boshqa sudlarning sudyalariga guvohnomalar Oʻzbekiston Respublikasi Oliy sudining raisi tomonidan beriladi. 97-modda. Sudlar faoliyati toʻgʻrisidagi nizomlarni tasdiqlash [OKOZ: 1.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.11.00 Harbiy sudlar""; 2.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.17.00 Sudyalarning malaka darajasi; 3.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.20.00 Sud xodimlari. Malaka darajalari] Quyidagilar tasdiqlansin: Harbiy sudlar faoliyatini tashkil etish toʻgʻrisidagi nizom — ushbu Qonunga 1-ilovaga muvofiq; Sudyalarning malaka darajalari toʻgʻrisidagi nizom — ushbu Qonunga 2-ilovaga muvofiq; Sud tizimi xodimlarining mansab darajalari toʻgʻrisidagi nizom — ushbu Qonunga 3-ilovaga muvofiq. 98-modda. Oʻzbekiston Respublikasining ayrim qonun hujjatlarini oʻz kuchini yoʻqotgan deb topish [OKOZ: 1.21.00.00.00 Oʻzgartirish va qoʻshimchalar kiritish boʻyicha kompleks tusdagi hujjatlar / 21.01.00.00 Oʻzbekiston Respublikasining qonunlari] Quyidagilar oʻz kuchini yoʻqotgan deb topilsin: 1) Oʻzbekiston Respublikasining 1993-yil 2-sentabrda qabul qilingan “Sudlar toʻgʻrisida”gi 924-XII-sonli Qonuni (Oʻzbekiston Respublikasi Oliy Kengashining Axborotnomasi, 1993-yil, № 10, 367-modda); 2) Oʻzbekiston Respublikasi Oliy Kengashining 1993-yil 2-sentabrda qabul qilingan “Oʻzbekiston Respublikasining “Sudlar toʻgʻrisida”gi Qonunini amalga kiritish tartibi haqida”gi 925-XII-sonli Qarori (Oʻzbekiston Respublikasi Oliy Kengashining Axborotnomasi, 1993-yil, № 10, 368-modda);"",171,1536,28.5,7.99,0.027,0.291,law,False,dataset.csv
lex.uz,Sudlar to'g'risida,https://lex.uz/docs/-5534923,96,3) Oʻzbekiston Respublikasi Oliy Kengashining 1993-yil 2-sentabrda qabul qilingan “Sudyalarning malaka hayʼatlari toʻgʻrisidagi, Sudyalarning malaka darajalari toʻgʻrisidagi, Sud xodimlarining mansab darajalari toʻgʻrisidagi, Harbiy sudlar faoliyatini tashkil etish toʻgʻrisidagi nizomlarni tasdiqlash haqida”gi 927-XII-sonli Qarori (Oʻzbekiston Respublikasi Oliy Kengashining Axborotnomasi, 1993-yil, № 10, 370-modda)""; 4) Oʻzbekiston Respublikasining 1995-yil 31-avgustda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonunlariga oʻzgartishlar va qoʻshimchalar kiritish toʻgʻrisida”gi 118-I-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisining Axborotnomasi, 1995-yil, № 9, 193-modda) XIV boʻlimi; 5) Oʻzbekiston Respublikasining 1996-yil 27-dekabrda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartishlar va qoʻshimchalar kiritish toʻgʻrisida”gi 357-I-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisining Axborotnomasi, 1997-yil, № 2, 56-modda) VIII, XX va XXI boʻlimlari; 6) Oʻzbekiston Respublikasining 2000-yil 14-dekabrda qabul qilingan “Oʻzbekiston Respublikasining “Sudlar toʻgʻrisida”gi Qonuniga oʻzgartishlar va qoʻshimchalar kiritish haqida”gi 162-II-sonli Qonuni (Oʻzbekiston Respublikasi Oliy Majlisining Axborotnomasi, 2001-yil, № 1-2, 10-modda); 7) Oʻzbekiston Respublikasi Oliy Majlisining 2000-yil 14-dekabrda qabul qilingan “Sudyalarning malaka hayʼatlari toʻgʻrisidagi, Sudyalarning malaka darajalari toʻgʻrisidagi, Sud xodimlarining mansab darajalari toʻgʻrisidagi, Harbiy sudlar faoliyatini tashkil etish toʻgʻrisidagi nizomlarga oʻzgartishlar va qoʻshimchalar kiritish haqida”gi 164-II-sonli Qarori (Oʻzbekiston Respublikasi Oliy Majlisining Axborotnomasi, 2001-yil, № 1-2, 12-modda);"",177,1754,177.0,8.92,0.012,0.646,law,False,dataset.csv
lex.uz,Sudlar to'g'risida,https://lex.uz/docs/-5534923,97,8) Oʻzbekiston Respublikasining 2001-yil 7-dekabrda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartishlar va qoʻshimchalar kiritish toʻgʻrisida”gi 320-II-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisining Axborotnomasi, 2002-yil, № 1, 20-modda) V boʻlimi""; 9) Oʻzbekiston Respublikasining 2003-yil 12-dekabrda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartishlar va qoʻshimchalar kiritish toʻgʻrisida”gi 568-II-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisining Axborotnomasi, 2004-yil, № 1-2, 18-modda) IV va XXVII boʻlimlari; 10) Oʻzbekiston Respublikasining 2004-yil 3-dekabrda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartishlar va qoʻshimchalar kiritish, shuningdek ayrim qonun hujjatlarini oʻz kuchini yoʻqotgan deb topish toʻgʻrisida”gi 714-II-sonli Qonuni (Oʻzbekiston Respublikasi Oliy Majlisining Axborotnomasi, 2005-yil, № 1, 18-modda) I boʻlimining 20 va 47-bandlari; 11) Oʻzbekiston Respublikasining 2007-yil 11-iyulda qabul qilingan “Qamoqqa olishga sanksiya berish huquqi sudlarga oʻtkazilishi munosabati bilan Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartish va qoʻshimchalar kiritish toʻgʻrisida”gi OʻRQ-100-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2007-yil, № 6, 249-modda) 2-moddasi; 12) Oʻzbekiston Respublikasining 2007-yil 20-iyulda qabul qilingan “Sudlar toʻgʻrisida”gi Oʻzbekiston Respublikasi Qonuniga, Harbiy sudlar faoliyatini tashkil etish toʻgʻrisidagi nizomga, Sudyalarning malaka hayʼatlari toʻgʻrisidagi nizomga oʻzgartish va qoʻshimchalar kiritish haqida”gi OʻRQ-103-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2007-yil, № 7, 324-modda) 1 va 2-moddalari;"",187,1800,187.0,8.63,0.017,0.642,law,False,dataset.csv
lex.uz,Sudlar to'g'risida,https://lex.uz/docs/-5534923,98,13) Oʻzbekiston Respublikasining 2009-yil 7-aprelda qabul qilingan “Sud xodimlarining mansab darajalari toʻgʻrisidagi nizomga oʻzgartishlar kiritish haqida”gi OʻRQ-207-sonli Qonuni (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2009-yil, № 4, 134-modda)""; 14) Oʻzbekiston Respublikasining 2009-yil 22-dekabrda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartishlar kiritish toʻgʻrisida”gi OʻRQ-238-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2009-yil, № 12, 470-modda) 3 va 13-moddalari; 15) Oʻzbekiston Respublikasining 2011-yil 21-aprelda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartish va qoʻshimchalar kiritish toʻgʻrisida”gi OʻRQ-288-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2011-yil, № 4, 104-modda) 1-moddasi; 16) Oʻzbekiston Respublikasining 2012-yil 18-sentabrda qabul qilingan “Sud-huquq tizimini yanada isloh qilish munosabati bilan Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartish va qoʻshimchalar kiritish toʻgʻrisida”gi OʻRQ-335-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2012-yil, № 9/2, 244-modda) 2-moddasi; 17) Oʻzbekiston Respublikasining 2014-yil 20-yanvarda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartish va qoʻshimchalar kiritish toʻgʻrisida”gi OʻRQ-365-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2014-yil, № 1, 2-modda) 3 va 4-moddalari;"",157,1566,157.0,8.98,0.007,0.645,law,False,dataset.csv
lex.uz,Sudlar to'g'risida,https://lex.uz/docs/-5534923,99,18) Oʻzbekiston Respublikasining 2017-yil 29-martda qabul qilingan “Fuqarolarning huquq va erkinliklarini ishonchli himoya qilish kafolatlarini taʼminlashga doir qoʻshimcha chora-tadbirlar qabul qilinganligi munosabati bilan Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartish va qoʻshimchalar kiritish toʻgʻrisida”gi OʻRQ-421-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2017-yil, № 3, 47-modda) 2-moddasi""; 19) Oʻzbekiston Respublikasining 2017-yil 12-aprelda qabul qilingan “Sudlar toʻgʻrisida”gi Oʻzbekiston Respublikasi Qonuniga, Oʻzbekiston Respublikasining Fuqarolik protsessual va Xoʻjalik protsessual kodekslariga oʻzgartish va qoʻshimchalar kiritish haqida”gi OʻRQ-428-sonli Qonuni (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2017-yil, № 4, 136-modda); 20) Oʻzbekiston Respublikasining 2017-yil 6-iyunda qabul qilingan “Sud va Oʻzbekiston Respublikasi Oliy sudi huzuridagi Sud qonunchiligini demokratlashtirish va liberallashtirish hamda sud tizimi mustaqilligini taʼminlash boʻyicha tadqiqot markazi xodimlarining mansab darajalari toʻgʻrisidagi nizomga oʻzgartish va qoʻshimchalar kiritish haqida”gi OʻRQ-435-sonli Qonuni (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2017-yil, № 6, 299-modda); 21) Oʻzbekiston Respublikasining 2017-yil 14-sentabrda qabul qilingan “Oʻzbekiston Respublikasining ayrim qonun hujjatlariga oʻzgartish va qoʻshimchalar kiritish, shuningdek ayrim qonun hujjatlarini oʻz kuchini yoʻqotgan deb topish toʻgʻrisida”gi OʻRQ-446-sonli Qonunining (Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2017-yil, № 9, 510-modda) 48 va 49-moddalari;"",173,1695,173.0,8.8,0.024,0.65,law,False,dataset.csv
lex.uz,Sudlar to'g'risida,https://lex.uz/docs/-5534923,86,Vakolatlarni tugatish. Sudyalarning moddiy va ijtimoiy taʼminoti] Sudyaning hayoti va sogʻligʻi davlatning maxsus muhofazasida boʻladi hamda respublika budjeti mablagʻlari hisobidan davlat tomonidan majburiy tartibda sugʻurta qilinadi. Quyidagi hollarda sugʻurta kompaniyalari (sugʻurtalovchilar) sugʻurta summalarini toʻlaydi: sudya ishlayotgan davrida yoki vakolatlari muddati tugaganidan keyin halok boʻlsa (vafot etsa), agar bu sudya oʻz xizmat vazifalarini bajarishi munosabati bilan duchor boʻlgan mayibligi yoki sogʻligʻining boshqacha shikastlanishi oqibatida roʻy bergan boʻlsa, uning merosxoʻrlariga — sudyaning ellik oylik ish haqi miqdorida""; sudya oʻz xizmat vazifalarini bajarishi munosabati bilan kelgusida kasbga doir faoliyat bilan shugʻullanish imkoniyatini istisno etadigan darajada mayib boʻlib qolganida yoki uning sogʻligʻiga boshqacha shikast yetkazilganida — sudyaning yigirma besh oylik ish haqi miqdorida;"" sudya oʻz xizmat vazifalarini bajarishi munosabati bilan kelgusida kasbga doir faoliyat bilan shugʻullanish imkoniyatini istisno etmaydigan va mehnat qobiliyatining doimiy yoʻqolishiga olib kelmaydigan darajada mayib boʻlib qolganida yoki uning sogʻligʻiga boshqacha shikast yetkazilganida — sudyaning besh oylik ish haqi miqdorida.","Boshqa sudlarning sudyalariga guvohnomani Oliy sud raisi beradi. Harbiy sudlar, sudyalarning malaka darajalari va sud xodimlarining mansab darajalari to'g'risidagi nizomlar tasdiqlangan. Shu bilan birga sudlar to'g'risidagi eski qonun va unga oid bir qancha qonun hujjatlari bekor qilingan."
"Advokatura. Notariat. Yuridik xizmat. Adliya organlari. FHDY organlari / 18.01.00.00 Prokuratura / 18.01.02.00 Prokuraturaning tizimi va tashkiliy tuzilmasi"";"" 2.20.00.00.00 Kadrlar masalalari, mukofotlar, faxriy unvonlar, esdalik nishonlar, faxriy yorliqlar bilan taqdirlash, amnistiya va afv etish masalalari hamda fuqarolik berish boʻyicha individual aktlar / 20.01.00.00 Lavozimga tayinlash, ishdan boʻshatish boʻyicha qarorlar] Qoraqalpogʻiston Respublikasining prokurori Oʻzbekiston Respublikasining Bosh prokurori bilan kelishilgan holda Qoraqalpogʻiston Respublikasining oliy vakillik organi tomonidan tayinlanadi. Viloyatlarning prokurorlari, tuman va shahar prokurorlari Oʻzbekiston Respublikasining Bosh prokurori tomonidan tayinlanadi. Oʻzbekiston Respublikasi Bosh prokurorining, Qoraqalpogʻiston Respublikasi prokurorining, viloyat, tuman va shahar prokurorlarining vakolat muddati — besh yil. Ayni bir shaxs surunkasiga ikki muddatdan ortiq Oʻzbekiston Respublikasining Bosh prokurori lavozimini egallashi mumkin emas. 145-modda. [OKOZ: 1.18.00.00.00 Prokuratura.","Qoraqalpog'iston prokurori Bosh prokuror bilan kelishilgan holda Qoraqalpog'istonning oliy vakillik organi tomonidan tayinlanadi. Viloyat, tuman va shahar prokurorlarini Bosh prokuror tayinlaydi. Bosh prokuror, Qoraqalpog'iston prokurori, viloyat, tuman va shahar prokurorlarining vakolat muddati besh yil. Bir kishi ketma-ket ikki muddatdan ortiq Bosh prokuror bo'la olmaydi."
"Advokatura. Notariat. Yuridik xizmat. Adliya organlari. FHDY organlari / 18.01.00.00 Prokuratura / 18.01.02.00 Prokuraturaning tizimi va tashkiliy tuzilmasi] Oʻzbekiston Respublikasining prokuratura organlari oʻz vakolatlarini boshqa davlat organlaridan, oʻzga tashkilotlardan, mansabdor shaxslardan mustaqil ravishda, faqat Oʻzbekiston Respublikasining Konstitutsiyasiga va qonunlariga boʻysungan holda amalga oshiradi. Prokurorlar oʻz vakolatlari davrida siyosiy partiyalarga va siyosiy maqsadlarni koʻzlovchi boshqa jamoat birlashmalariga aʼzolikni toʻxtatib turadilar. Prokuratura organlarini tashkil etish, ularning vakolatlari va faoliyat koʻrsatish tartibi qonun bilan belgilanadi. 146-modda. [OKOZ: 1.18.00.00.00 Prokuratura. Advokatura. Notariat. Yuridik xizmat. Adliya organlari. FHDY organlari / 18.01.00.00 Prokuratura / 18.01.07.00 Prokuratura organlarining tashkiliy tuzilmasi va faoliyatiga oid boshqa masalalar] Oʻzbekiston Respublikasi hududida jinoyatchilikka qarshi kurash boʻyicha tezkor-qidiruv, tergov va boshqa maxsus vazifalarni mustaqil ravishda bajaruvchi xususiy tashkilotlar, jamoat birlashmalari va ularning boʻlinmalarini tuzish hamda ularning faoliyat koʻrsatishi taqiqlanadi.","Prokuratura o'z vakolatlarini boshqa davlat organlaridan mustaqil, faqat Konstitutsiya va qonunlarga bo'ysungan holda amalga oshiradi. Prokurorlar ishlagan davrida siyosiy partiyalarga a'zolikni to'xtatadi. Prokuratura organlarini tashkil etish tartibi qonun bilan belgilanadi. O'zbekistonda jinoyatchilikka qarshi tergov va qidiruv ishlarini mustaqil bajaradigan xususiy tashkilotlar tuzish taqiqlanadi."
"Qonuniylik va huquqiy tartibotni, fuqarolarning huquqlari va erkinliklarini himoya qilishda huquqni muhofaza qiluvchi organlarga jamoat tashkilotlari va fuqarolar yordam koʻrsatishlari mumkin. XXVI bob. Moliya, pul va bank tizimi 147-modda. [OKOZ: 1.07.00.00.00 Moliya va kredit toʻgʻrisidagi qonunchilik. Bank faoliyati / 07.02.00.00 Moliya va iqtisod sohasidagi boshqaruv""; 2.07.00.00.00 Moliya va kredit toʻgʻrisidagi qonunchilik. Bank faoliyati / 07.03.00.00 Pul tizimi va pul muomalasi. Inflyatsiya / 07.03.01.00 Umumiy masalalar;"" 3.07.00.00.00 Moliya va kredit toʻgʻrisidagi qonunchilik. Bank faoliyati / 07.19.00.00 Bank tizimi / 07.19.01.00 Markaziy bank, uning tarkibiy boʻlinmalari va muassasalari] Oʻzbekiston Respublikasi oʻzining yagona moliya, pul va bank tizimiga ega. 148-modda. [OKOZ: 1.07.00.00.00 Moliya va kredit toʻgʻrisidagi qonunchilik.","Jamoat tashkilotlari va fuqarolar huquqni muhofaza qiluvchi organlarga yordam berishi mumkin. O'zbekiston yagona moliya, pul va bank tizimiga ega."
"Sanger 1918-yilda New York Womanʼs Publishing Company (New Yorkdagi ayollar nashriyot kompaniyasi)ni tuzdi. The Birth Control Review nashriyoti uning homiyligida tashkil etildi. Britaniyalik saylov huquqi faoli Kitty Marion New York koʻchasining burchaklarida turib, oʻlim tahdidlari, xiyonat, tupurish, jismoniy zoʻravonlik va politsiya taʼqibiga chidab, ""Review „ning har bir nusxasini 20 sentdan sotdi. Keyingi oʻn yil davomida Marion tugʻilishni nazorat qilishni targʻib qilgani uchun toʻqqiz marta hibsga olingan. Sanger oʻzining 1917-yilgi sudlanishi masalasida shikoyat qildi va 1918-yilda New York Apellyatsiya sudi sudyasi Frederick E. Crane tomonidan yozilgan bir ovozdan qaror bilan aralash gʻalaba qozondi. Yaʼni sud qarori uning ayblovini tasdiqladi, ammo sudlar shifokorlar tomonidan belgilab qoʻyilgan kontratsepsiyaga ruxsat berishga tayyorligini bildirdilar.","Sanger 1918-yilda Nyu-Yorkda ayollar nashriyot kompaniyasini tuzdi va shu yerda ""The Birth Control Review"" jurnali chiqa boshladi. Faol Kitti Marion ko'chada bu jurnalni sotib yurgani uchun to'qqiz marta hibsga olingan. Sanger 1917-yilgi sudlanishidan shikoyat qildi va 1918-yilda Nyu-York apellyatsiya sudi aralash qaror chiqardi: uning ayblovi tasdiqlandi, lekin shifokorlarga kontratsepsiyaga ruxsat berish mumkinligi aytildi."
"AQSh askarlari Yevropada boʻlganlarida rezina prezervativlarni osongina topishgan va Amerikaga qaytib kelganlarida tugʻilishni nazorat qilishning afzal usuli sifatida prezervativlardan foydalanishda davom etishgan. Harbiylarning venerik kasalliklarga qarshi kampaniyasi harakat uchun katta burilish nuqtasi boʻldi: bu birinchi marta davlat muassasasining jinsiy masalalarni doimiy, ommaviy muhokama qilish bilan shugʻullanishi edi. Hukumatning ommaviy nutqi jinsiy aloqani tabu mavzudan qonuniy ilmiy tadqiqot mavzusiga aylantirdi va kontratsepsiyani axloqiy masaladan jamoat salomatligi masalasiga aylantirdi. 1917-yilda advokat Emma Goldman Birinchi jahon urushi va Amerika harbiy xizmatga chaqirilishiga norozilik bildirgani uchun hibsga olingan. Goldmanning sotsializm, anarxizm, tugʻilishni nazorat qilish, kasaba uyushmalari huquqlari va erkin sevgi kabi mavzularda soʻz erkinligiga sodiqligi oxir-oqibat uni Amerika fuqaroligi va Qoʻshma Shtatlarda yashash huquqidan ayirdi.","AQSh askarlari Yevropada prezervativ topib, mamlakatga qaytganda ham undan foydalanishda davom etgan. Harbiylarning bu kampaniyasi jinsiy mavzularni ochiq muhokama qilishning birinchi holati bo'ldi va kontratsepsiyani axloqiy emas, sog'liq masalasiga aylantirdi. 1917-yilda faol Emma Goldman urushga qarshi chiqqani uchun hibsga olindi. Uning erkin fikrlash va tug'ilishni nazorat qilishni yoqlashi oxir-oqibat uni Amerika fuqaroligidan mahrum qildi."
"Sotsialistik farovonlik va antikapitalizmga sodiqligi tufayli Goldman kommunizm bilan aloqador edi, bu esa Birinchi Qizil Qoʻrquv (First Red Scare) davrida uning mamlakatdan haydalishiga olib keldi. Birinchi jahon urushi Amerikaning sogʻliqni saqlash bilan bogʻliq tugʻilishni nazorat qilish gʻoyasini qabul qilishiga olib kelgan boʻlsa-da, antikommunistik Birinchi Jahon urushi propagandasi tugʻilishni nazorat qilish harakatining eng sodiq aʼzolaridan birini qurbon qildi. Muhim tugʻilishni nazorat qilish faoli va yetakchisi boʻlsa-da, Mary Dennett turli xil tashkilotlarni himoya qildi. Massachusets ayollarning saylov huquqlari assotsiatsiyasining dala kotibi lavozimidan boshlab, u Milliy Amerika ayollarining saylov huquqlari assotsiatsiyasining tegishli kotibi sifatida saylangan oʻrinni egallash uchun ishladi. Dennett adabiy boʻlimni boshqarib, risolalar va varaqalar tarqatish kabi vazifalarni bajardi.","Goldman kommunizmga yaqinligi tufayli Birinchi Qizil Qo'rquv davrida mamlakatdan haydaldi. Urush tug'ilishni nazorat qilish g'oyasini kuchaytirgan bo'lsa-da, antikommunistik kayfiyat harakatning eng sodiq a'zolaridan birini qurbon qildi. Boshqa yetakchi Mary Dennett turli tashkilotlarda ishlab, ayollar saylov huquqi harakatida faol bo'lgan va risolalar tarqatgan."
