"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score","domain"
"wikipedia","Agrokimyo","https://uz.wikipedia.org/wiki/Agrokimyo","4","Agrokimyo rivojlanishi bilan respublikada mineral oʻgʻitlar sanoati taraqqiy etdi (qarang Kimyo sanoati, Kimyo instituti). Respublikada Agrokimyo fanini rivojlantirishda B. M. Isayev, M. A. Belousov, N. N. Zelenin, T. S. Zokirov, B. P. Machigin, I. N. Niyozaliyev, P. V. Protasov, T. P. Piroxunov, G. I. Yarovenko va boshqalarning ishlari muhim ahamiyatga ega. Oʻzbekistonda Tuproqshunoslik va agrokimyo institutda, qishloq xoʻjaligi oliy oʻquv yurtlaridagi Agrokimyo kafedralarida Agrokimyo masalalarini oʻrganish boʻyicha tadqiqot ishlari olib boriladi. Ad.: Protasov P. V., Niyozaliyev I. N.,Toirov T. 3., Paxtachilikda agroximiya, T., 1981; Zokirov T. S, Pochvenno-agro-ximicheskiye osnovi xlopkovodstva, T., 1987. I. N. Niyozaliyev, T. 3. Toirov.","98","751","2.62","6.0","0.33","0.284","economy"
"wikipedia","Natural son","https://uz.wikipedia.org/wiki/Natural_son","4","Yigʻindining komutativligi. a + b = b + a {\displaystyle \,\!a+b=b+a} Koʻpaytirishining komutativligi. a b = b a {\displaystyle \,\!ab=ba} Yigʻindining assotsiativligi. ( a + b ) + c = a + ( b + c ) {\displaystyle \,\!(a+b)+c=a+(b+c)} Koʻpaytirishining assotsiativligi. ( a b ) c = a ( b c ) {\displaystyle \,\!(ab)c=a(bc)} Koʻpaytirishining yigʻindiga nisbatan distributivligi. { a ( b + c ) = a b + a c ( b + c ) a = b a + c a {\displaystyle \,\!{\begin{cases}a(b+c)=ab+ac\\(b+c)a=ba+ca\end{cases}}} Butun sonlar Ratsional sonlar Haqiqiy sonlar ( saytida 2012-10-22 sanasida arxivlangan) — „Kitoblarni mavzular boʻyicha qidiruvi“ ( saytida 2007-03-03 sanasida arxivlangan)","106","674","8.82","4.48","0.206","0.292","technology"
"wikipedia","ABN AMRO","https://uz.wikipedia.org/wiki/ABN_AMRO","5","Branch Hong Kong (Gonkong) ABN AMRO Clearing Tokyo Co. Ltd. (Yaponiya) ABN AMRO Bank N.V. Branch UAE/DIFC (BAA) ABN AMRO Clearing Sydney Pty Ltd. (Avstraliya)","25","158","4.5","4.44","0.444","0.304","economy"
"wikipedia","$30,000","https://uz.wikipedia.org/wiki/$30,000","1","$30,000 – 1920-yilda rejissyor Ernest C. Warde tomonidan suratga olingan Amerika ovozsiz filmi. Filmda J. Warren Kerrigan, Fritzi Brunette va Carl Stockdale bosh rollarni ijro etgan. Film yo‘qolgan hisoblanadi.","29","210","5.6","5.79","0.321","0.316","culture"
"wikipedia","ABN AMRO","https://uz.wikipedia.org/wiki/ABN_AMRO","4","Eng yirik aksiyadori davlat hisoblanadi (Niderlandiya Moliya vazirligi), aksionerik kapitalining sotilmaydigan aksiyalarining toʻgʻridan-toʻgʻri 49,9 %iga va Euronext tizimining Amsterdam fond birjasida roʻyxatga olingan 6,4 % aksiyalarga egalik qiladi. 2020-yil uchun ABN AMRO guruhi quyidagi asosiy tuzilmalardan iborat: ABN AMRO Bank N.V. (Gollandiya) Banque Neuflize OBC S.A. (Fransiya) Bethmann Bank AG (Germaniya) ABN AMRO Bank N.V. Branch Belgium (Belgiya) ABN AMRO Asset based Finance N.V., UK branch (Birlashgan Qirollik) ABN AMRO Bank N.V. Oslo Branch (Norvegiya) ABN AMRO Securities Holdings (Denmark) ApS (Daniya) ABN AMRO Clearing Chicago LLC (AQSh) Banco ABN AMRO S.A. (Braziliya) ABN AMRO Bank N.V. Branch Singapore (Singapur) ABN AMRO Bank N.V.","104","760","6.47","5.44","0.318","0.318","economy"
"wikipedia","Natural son","https://uz.wikipedia.org/wiki/Natural_son","1","1] Natural son deb sanash (sanoq) uchun ishlatiladigan sonlarga aytiladi. Natural sonlar toʻplami N {\displaystyle \mathbb {N} } harfi bilan belgilanadi. 2] Natural sonlar qatori cheksizdir. Natural sonlar qatori: 1,2,3,4,5,6,7… [ 0(nol) natural son emas]. 3] Natural sonlar cheksizdir. 4] Natural sonlar ustida amallar. Natural songa natural son qo'shilsa natija har doim natural son bo'ladi. 7+10=17 Bunda 7 soni 1-qoʻshiluvchi, 10 soni 2-qoʻshiluvchi, 17 soni yigʻindi deyiladi. Natural sondan natural son ayrilsa natija natural son bo'lish ham mumkin, natural son bo'lmasligi ham mumkin. 14-6=8. 11-34=-23 Bunda 14(va 11) soni kamayuvchi, 6( va 34) soni ayriluvchi, 8(va -23) soni ayirma deyiladi.","100","701","7.55","6.05","0.241","0.324","technology"
"wikipedia","Aalmaram","https://uz.wikipedia.org/wiki/Aalmaram","1","Aalmaram – 1969-yilda rejissyor A. Vincent tomonidan suratga olingan, prodyuseri T. K. Pareekutty bo‘lgan Hindistonning malayalam tilidagi filmi. Filmda Prem Nazir, Madhu, Sheela va Kaviyoor Ponnamma bosh rollarni ijro etgan. Film musiqalari muallifi A. T. Ummer hisoblanadi.","37","275","4.62","5.97","0.378","0.325","culture"
"wikipedia","In","https://uz.wikipedia.org/wiki/In","1","In — hayvonlarning tuproqda qazigan vaqtinchalik yoki doimiy yashaydigan makoni, pana joy. Ayrim hollarda toshlar orasida, yogʻochlarda, qorda ham I. quriladi. I. yirtqichlardan va sovuq havodan himoya qiladi yoki unda oziqovqat saqlanadi; hayvonlar juftlashadi va avlodlarini voyaga yetkazadi. Kemiruvchilar, boʻrsiqlar, tulkilar I.ini doimo tuzatib turadi; I.da ular uzoq vaqt, hatto yuz va ming yillab yashashi mumkin. Murakkab tuzilgan I.dan I. egalari bilan birga boshqa organizmlar ham foydalanadi. I. murakkab biotsenoz boʻlib, ayrim sut emizuvchilar I.ida xavfli kasallik (oʻlat, ley-shmanioz) tarqatuvchi hayvonlar yashashi mumkin. Shu sababli I. koʻp boʻlgan hududlarda xavfli kasalliklar manbai boʻlishi uchun sharoit tugʻiladi (yana q. Uya).","99","753","6.06","6.04","0.32","0.328","science"
"wikipedia","Allergologiya","https://uz.wikipedia.org/wiki/Allergologiya","2","M. Haqberdiyev, S. A. Zaxvatkina, N. V. Susina). Don va moʻm kuyasi hamda chivinlarning allergik kasalliklar tarqatishdagi roli aniqlanadi (I. R. Yoʻddoshev, O. I. Yusupova). Katta yoshli bemorlarda atopik bronxial astma va pollinozlarning klinik kechishi xususiyatlarini oʻrganishda oʻziga xos tashxis usullari ishlab chiqilgan (O. A. Nazarov, E. I. Salimov va boshqalar). Oʻzbekistonda ixtisoslashgan allergik yordam koʻrsatadigan Respublika Alergologiya markazi (1980-yildan), allergik kabinetlar va boʻlimlar mavjud.","65","520","3.82","6.49","0.385","0.329","health"
"wikipedia","Umr","https://uz.wikipedia.org/wiki/Umr","4","Rimda 22 yilga yaqin, rivojlangan Yevropa mamlakatlarida Uygʻonish davrida — 35 yilga, XIX asr oʻrtasida — 40 yilga teng boʻlgan. XX asrda tibbiyot fanlarining yutugʻi va ijtimoiy yuksalish natijasida odamning urtacha umri 20 yildan koʻproq uzaygan. XX asr 80-yillarida rivojlangan mamlakatlarda oʻrtacha U. erkaklar uchun 70-yil, xotinqizlar uchun 76 yilga toʻgʻri kelgan. Atrofmuhit sharoiti va turmush tarzi eng qulay boʻlganida odamning oʻrtacha U.i 85 yilga yetishi mumkin. Odam U.ining yanada uzayishi qarish sirasrorlarini chuqurroq bilib olish bilan bogʻliq. Yuksak oʻsimliklar U.i yashash muddatiga binoan bir, ikki va koʻp yillik boʻladi. Bunday boʻlinishi shartli, chunki muhit sharoitiga qarab turning U.i oʻzgarishi mumkin.","101","736","8.08","6.18","0.227","0.33","science"
