text,text_simplified
"Shevchenko, K. Kuliyev kabi dunyoga mashhur yozuvchilarning asarlarini oʻzbek tiliga mahorat bilan tarjima qilgan 2015-yilda Oripov Italiya yulduzi ordeni bilan taqdirlangan. Ordenni Oripovga Italiya prezidenti Serj Sotarelloning maxsus taklifiga binoan topshirilgan. ""Mitti yulduz"" (1965) ""Koʻzlarim yoʻlingda"" (1967) ""Onajon"" (1969) ""Ruhim"" (1971) ""Oʻzbekiston"" (1972) ""Xotirot"" (1974) ""Yurtim shamoli"" (1974) ""Jannatga yoʻl"" (1978) ""Hayrat"" (1979) ""Hakim va ajal"" (1980) ""Najot qalʼasi"" (1981) ""Yillar armoni"" (1983) ""Ranjkom"" (1988) Haj daftari"" (1992) ""Saylanma"" (1996) ""Sohibqiron (sheʼriy drama)"" (1996) ""Tanlangan asarlar I-IV"" (2000-2001) „Ummon boʻyidagi oʻylar“ (2024) Dante „Ilohiy komediya“ Aleksandr Pushkin Lesya Ukrainka, sheʼrlar Taras Shevchenko, sheʼrlar Nikolay Nekrasov, sheʼrlar Qaysin Quliyev, sheʼrlar Rasul Hamzatov, sheʼrlar Mar Bayjiyev, sheʼrlar 1983-yil – “Oʻzbekiston xalq shoiri” 1994-yil – “Doʻstlik” ordeni “Xalqlar doʻstligi” ordeni 1998-yil – „Oʻzbekiston Qahramoni“ unvoni 2015-yil – Italiya yulduzi ordeni 2015-yil – Xalqaro „Oltin yulduz“ ordeni 1994-yilda – Alisher Navoiy nomidagi Davlat mukofoti","Abdulla Oripov dunyoga mashhur yozuvchilarning asarlarini o'zbek tiliga mahorat bilan tarjima qilgan. 2015-yilda unga Italiya prezidenti tomonidan Italiya yulduzi ordeni topshirilgan. U ko'plab she'riy to'plamlar yozgan va turli davrlarda ""O'zbekiston xalq shoiri"", ""Do'stlik"" ordeni, ""O'zbekiston Qahramoni"" unvoni kabi mukofotlarga sazovor bo'lgan."
"Abdelhamid (Abd Al-Hamid) Benxeduga (араб. عبد الحميد بن هدوقة "";"" yil 9-yanvar, Mansura, fransuz Jazoir — 1996-yil 21-oktyabr, Jazoir) — taniqli Jazoir yozuvchisi, dramaturg, jurnalist. Arab tilida yozgan. Jazoir Arabining o'g'li va barbariya onasi. Arab va fransuz tillarida ta'lim Konstantin universiteti va Tunisdagi az-Zituna ilohiyot universitetida olingan. Jazoir mustaqillik urushi paytida qurolli to'qnashuv ishtirokchisi. Millatchi. Politsiya tomonidan qidirilgan, 1955 yilda Fransiyada yashiringan . 1958 yilda u Tunisdagi Jazoir Milliy ozodlik frontiga qo'shildi va u yerda """"La Voix de l'algérie""""radiosi bilan hamkorlik qildi. 1957-1962 yillarda u Parij, Tunisdagi bir qator stantsiyalarda, 1962-1977 yillarda Jazoirda madaniy dasturlarning radio jurnalisti bo'lib ishlagan. Milliy madaniyat kengashi prezidenti (1990) va milliy maslahat kengashi vitse-prezidenti (1992).","Abdelhamid Benxeduga (1925–1996) — taniqli Jazoir yozuvchisi, dramaturg va jurnalist. U arab tilida yozgan, mustaqillik urushida qatnashgan va Fransiyada yashiringan. 1958-yilda Milliy ozodlik frontiga qo'shilib, radioda ishlagan. Keyinchalik u madaniy dasturlar bo'yicha radio jurnalisti bo'lib ishlagan va turli kengashlarda rahbarlik lavozimlarini egallagan."
"Abdulloh Ahmad Badaviy ushbu lavozimda 1999-yilning noyabrigacha Sayid Hamid Albar oʻz oʻrniga ega boʻlguniga qadar egallab kelgan. 1993-yilgi UMNO saylovlarida vitse-prezidentlikdan ayrilgan boʻlsa ham, u Vazirlar Mahkamasi tarkibida qoladi va tashqi ishlar vaziri etib tayinlandi. Abdulloh Ahmad Badaviy 1998-yilgacha Bosh vazir departamentida vazir, taʼlim vaziri, mudofaa vaziri va tashqi ishlar vaziri lavozimlarida ham ishlagan. 1999-yil 7-yanvarda Bosh vazir Mahathir Mohamad uni Bosh vazir oʻrinbosari etib tayinladi. Abdulloh Ahmad Badaviy 2003-yilda Mahathirdan keyin Bosh vazir lavozimini egallaydi. 2005-yil 20-oktyabrda Abdulloh Ahmad Badaviyning rafiqasi Endon Mahmud koʻkrak saratonidan vafot etdi. Ushbu kasallikni Endon 2003-yilda kashf etgan, uning egizak singlisi Noraini, avvalroq ham xuddi shunday kasallik tashxisi qoʻyilgan edi va u 2003-yil yanvar oyida vafot etgan edi.","Abdulloh Ahmad Badaviy 1999-yilgacha bu lavozimda ishlagan, keyin tashqi ishlar vaziri etib tayinlangan. U turli yillarda ta'lim, mudofaa va tashqi ishlar vaziri bo'lib ishlagan, 1999-yilda Bosh vazir o'rinbosari, 2003-yilda esa Bosh vazir bo'lgan. 2005-yilda uning rafiqasi ko'krak saratonidan vafot etgan."
"Mitoxondriya va xloroplastlarda prokaryotik tipdagi ribosomalar va rRNK ning topilishi simbiogenez nazariyasining isbotlaridan biriga aylandi.. 16S rRNKning birlamchi tuzilishi bir zanjirli ketma-ketlik bilan joylashgan 1600 ta ribonukleotiddan iborat. 16S rRNK geni V1-V9 deb belgilangan toʻqqizta giperoʻzgaruvchan hududni oʻz ichiga oladi. Giperoʻzgaruvchan — uzoq qorindosh organizmlarda ketma-ketligi bir-biridan sezilarli darajada farq qiladigan, biroq yaqin qarindosh organizmlarda maʼlum foiz oʻxshashlikka ega boʻlgan hududlardir. 16S rRNKning ikkilamchi strukturasida 4 ta aniq belgilangan domenni ajratib koʻrsatish mumkin: 5'-domen — 1-556 ribonukleotid Markaziy domen — 564-912 ribonukleotid Katta domen — 926-1391 ribonukleotid Kichik domen — 1392-1542 ribonukleotid.]] 23S rRNK singari , 16S rRNK ham ribosoma oqsillarining oʻrnini belgilashda strukturaviy rol oʻynaydi""; 3' uchida anti-Shine-Dalgarno ketma-ketligi mavjud boʻlib, u orqali 16S rRNK mRNK bilan bogʻlanadi ; 16S rRNK 23S rRNK bilan oʻzaro taʼsirlashib, katta va kichik ribosoma boʻlinmalarining (50S va 30S) bogʻlanishini osonlashtiradi;"" Azot atomi (N1) 1492 yoki 1493 adenin qoldigʻi va 2’OH guruhi oʻrtasida vodorod bogʻini hosil qilish orqali ribosomaning katta boʻlinmasi A-joyida kodon va antikodonning toʻgʻri juftligini barqarorlashtiradi. 16S rRNK ketma-ketligi toʻqqizta giperoʻzgaruvchan boʻlinmalari va ularni ajratib turadigan ketma-ketliklardan iborat.","Mitoxondriya va xloroplastlarda prokaryotik tipdagi rRNK topilishi simbiogenez nazariyasini isbotlagan. 16S rRNK 1600 ta nukleotiddan iborat bo'lib, u ribosoma tuzilishida va mRNK bilan bog'lanishda muhim rol o'ynaydi."
"2008-yilgi OFK Chaqiruv kubogi futbol musoboqasi OFK tomonidan tashkil etildi va Hindiston mezbonligida oʻtkazildi. Musoboqa 2008-yilning 30-iyulidan 13-avgustiga qadar oʻtkazilgan. Hindiston finalda Tojikiston ustidan gʻalaba qozongan. Hindiston, shuningdek, fair play mukofoti gʻolibi boʻldi. Hindiston terma jamoasi sardori Bhaichung Bhutia esa eng yaxshi futbolchi sovrinini qoʻlga kiritdi. Dastlab Xitoy Taypeyi mezbon etib tayinlangan edi, lekin u OFKning turnirni oʻtkazish boʻyicha standartlariga javob berishga kafolat bera olmadi. Tailand birinchi boʻlib mezbon sifatida tanlangan, ammo tayyorgarlik koʻrish uchun vaqt yoʻqligi sababli bu variantdan ham voz kechilgan. Filippin ham 2008-yilning may oyida Bakolodda oʻtkaziladigan oʻyinlar bilan mezbonlikni qabul qilishi kerak edi, ammo reja amalga oshmadi. 2008 va 2010-yilgi musobaqalar g‘oliblariga 2011-yilgi Osiyo Kubogiga to‘g‘ridan-to‘g‘ri yo‘llanma taqdim etilar edi.","2008-yilgi OFK Chaqiruv kubogi Hindistonda o'tkazilgan bo'lib, Hindiston finalda Tojikiston ustidan g'alaba qozongan. Dastlab boshqa davlatlar mezbon bo'lishi rejalashtirilgan, lekin tayyorgarlik yetishmagani sababli bu variant amalga oshmagan."
"Natijada, Hindiston 1984-yildan beri birinchi marta Osiyo Kubogiga yoʻllanma oldi. Ushbu musobaqa faqat OFKning rivojlanayotgan davlatlar toifasi vakillari uchundir. Biroq, avvalgi musoboqada Bangladesh va Hindiston rivojlangan davlatlar toifasidan taklif qilingan edi. Bangladesh aslida turnirga mezbonlik qiladi, bu esa ularga qatnashish imkonini taqdim etgan. Hindiston esa oʻzlarining 20 yoshgacha boʻlgan terma jamoasini yuborgan. 2008-yilgi musobaqaga Hindiston va Bangladesh, shuningdek, rivojlanayotgan davlatlar qatoriga kiruvchi Shimoliy Koreya, Myanma va Turkmaniston terma jamoalari ham taklif qilindi. Laos 2008-yil 2-mayda musobaqadan chiqdi. Falastin esa 2008-yil 14-mayda musobaqadan chiqdi. Lal Bahodur Shastri stadionidagi maydonning yomon sharoiti tufayli OFK aksariyat o‘yinlarni boshqa maydonga ko‘chirdi. Oʻnta oʻyin Gachibowli Atletik stadionida va ikkitasi LBS stadionida oʻtkazilishiga qaror qilindi.","Natijada Hindiston 1984-yildan beri birinchi marta Osiyo Kubogiga yo'llanma oldi. 2008-yilgi musobaqaga Hindiston, Bangladesh, Shimoliy Koreya, Myanma va Turkmaniston kabi rivojlanayotgan davlatlar taklif qilingan, ammo Laos va Falastin musobaqadan chiqib ketgan."
"Yil davomida har bir nomzod ariza hujjatlarini tayyorladi. 2013-yil 14-sentabrda Krasnoyarsk FISU shtab-kvartirasiga arizalarini topshirdi va mezbonlik maqomini oldi. Bu bosqichdagi yagona raqobatchi oʻz nomzodini bekor qildi. 2013-yil 9-noyabr kuni Bryusselda FISU aʼzolari yashirin ovoz berish yoʻli bilan Krasnoyarskni XXIX Butunjahon qishki Universiada-2019 mezboni etib tanladilar. Rossiya tarixda birinchi marta Qishki Universiadaga mezbonlik qiladi. Ilgari Moskva 1973-yilda, 2013-yilda Qozonda yozgi Universiada oʻyinlariga mezbonlik qilgan edi. Krasnoyarskda Qishki Universiadaga tayyorgarlik koʻrish va oʻtkazish boʻyicha tashkiliy qoʻmita Rossiya Federatsiyasi Prezidentining 2014-yil 14-yanvardagi farmoniga muvofiq tuzilgan. 2016-yil 5-iyun kuni Krasnoyarskda, Yenisey daryosi qirgʻogʻida 2019-yilgi Qishki Universiada boshlanishiga ortga hisoblash soati ishga tushirildi. Soat 1000 kundan boshlab hisoblana boshladi.",2013-yilda FISU a'zolari yashirin ovoz berish orqali Krasnoyarskni mezbon etib tanladilar. Bu Rossiyaning tarixda birinchi marta Qishki Universiadaga mezbonlik qilishi edi. Tashkiliy qo'mita Prezident farmoniga muvofiq tuzilgan va 2016-yilda ortga hisoblash soati ishga tushirilgan.
"Tojikiston SSR vazirlar kengashi raisi, Oʻsh viloyati va Oʻsh shahar ijroiya qoʻmitalari raisi Mamadali Qurbonovich Qurbonov (ammasi Rahimaxonni umr yoʻldoshi) pochchasi boʻladi. Mamadali Qurbonovning oʻgʻli Sergo-Shahzoda (Oʻsh shahrida 1964-yili tugʻilgan) Ural togʻ-metallurgiya kompaniyasi direktor oʻrinbosari, „Transmashxolding“ YoHJ vitse-prezidenti boʻlib ishlaydi. 1943 yili 18 yoshga toʻlganda Azizullo oʻz xohishi bilan urushga borish uchun harbiy komissariatga boradi. Harbiy komissariatda komandir ruschalab: „Familiyang nima?“-deb soʻraydi, Azizullo ruschani tushunmagani uchun javob berishga qiynaladi. Shunda komandir ruscha-oʻzbekcha aralashtirib: „Otangni ismi nima?“-deb soʻraydi. Azizullo: „Izzatulla“-deb javob beradi. Shundan keyin Azizullo Sultonovni familiyasi harbiy xujjatlariga Izzatullayev deb yozilib qoladi. Ikkinchi Jahon Urushidan keyin Azizullo gospitalda Tatyana ismli qiz bilan tanishib qoladi va uni Yangiyoʻlga olib keladi.","Uning qarindoshlaridan biri Tojikiston SSR vazirlar kengashi raisi Mamadali Qurbonov bo'lgan. 1943-yilda 18 yoshida Azizullo urushga o'z xohishi bilan ketgan, va ruscha suhbat tufayli uning familiyasi hujjatlarda Izzatullayev deb yozilib qolgan. Urushdan keyin u Tatyana ismli qiz bilan tanishib, uni Yangiyo'lga olib kelgan."
"Hozirda unda 70 ta davlatdan 8000 talaba bor. Abu Dabi universiteti Abu Dabi kampusi 2016-yil avgust oyida ochilgan kampus 12 ta oʻquv xonalari, 110 ta professor-oʻqituvchilar va xodimlarning ofislari, majlislar xonalari va koʻp maqsadli xonalar bilan taʼminlangan. Al-Ayn kampusi Universitetning eng dastlabki kampuslaridan biri boʻlgan Al-Ayn −2003-yilda ochilgan. 2017-yilda Al-Ayndagi yangi kampus 2019-yil sentabrigacha 81 million dollar sarfi evaziga ochildi. Yangi kengaytmalarda 70 ta sinf xonasi va 137 ta ofis mavjud boʻlib, ular 2500 dan ortiq oʻquvchilarni sigʻdiradi. Dubay kampusi Abu-Dabi universiteti 2017-yil sentabr oyida Dubay bilimlar parkida joylashgan yangi kampusni ochdi. 3490 kvadrat metrlik kampusning ochilish marosimida Madaniyat va bilimlarni rivojlantirish vaziri Shayx Nahayan Bin Muborak Al Nahayon, ayni paytdagi universitet vitse-prezidenti qatnashdi. Xalqaro reyting QS World Universitiesning 2018-yildagi reytingiga koʻra Abu Dabi universiteti dunyodagi eng yaxshi 750 ta eng yaxshi universitetlardan biri (va Birlashgan Arab Amirliklarida 6-oʻrin) qatoriga qoʻyildi. Manbalar Abu Dhabi University adds five new international scholars to its growing team of 145 faculty members „Abu Dhabi University seeking US accreditation to raise standards“ „Abu Dhabi University inaugurates new Dh16 million dorm“ „Abu Dhabi University recognized amongst the world’s top 550 universities“ „Abu Dhabi University seeking US accreditation to raise standards“ „New Abu Dhabi University to open its doors September 2003“ ADU in Profile","Abu Dabi universitetida hozir 70 davlatdan 8000 talaba o'qiydi. Universitetning Abu Dabi, Al-Ayn va Dubay kampuslari bor bo'lib, ular turli yillarda ochilgan va kengaytirilgan. QS World Universities reytingiga ko'ra universitet dunyodagi eng yaxshi 750 talik ro'yxatga kiradi."
"Bu 2016-yil va 2017-yillarda oziq-ovqat va qishloq xoʻjaligi tashkilotining korporativ statistik maʼlumotlar bazasi asosida ananas yetishtirish boʻyicha mamlakatlar roʻyxati. 2017-yilda ananasning umumiy ishlab chiqarish hajmi 27 402 956 metrik tonnani tashkil etdi, bu 2016-yildagi 26 195545 tonnadan 4,6 foizga koʻpdir.","Bu 2016–2017-yillarda ananas yetishtirish bo'yicha mamlakatlar ro'yxati. 2017-yilda umumiy ishlab chiqarish 27,4 million tonnani tashkil etib, bu avvalgi yildan 4,6 foizga ko'p."
