"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score"
"lex.uz","Maktabgacha ta'lim va tarbiya to'g'risida","https://lex.uz/docs/-4646908","67","Oʻzbekiston Respublikasining Prezidenti Sh. MIRZIYOYEV Toshkent. sh., 2019-yil 16-dekabr, OʻRQ-595-son (Qonun hujjatlari maʼlumotlari milliy bazasi, 17.12.2019-y., 03/19/595/4160-son; Qonunchilik maʼlumotlari milliy bazasi, 21.04.2021-y., 03/21/683/0375-son, 27.04.2021-y., 03/21/685/0373-son, 12.10.2021-y., 03/21/721/0952-son; 15.03.2023-y., 03/23/823/0150-son; 09.09.2024-y., 03/24/957/0689-son; 30.12.2025-y., 03/25/1109/1241-son; 07.02.2026-y., 03/26/1117/0116-son; 23.06.2026-y., 03/26/1155/0616-son)","37","506","1.23","4.87","0.026","0.174"
"lex.uz","Mehnat kodeksi","https://lex.uz/docs/-142859","316","Sugʻurta qilingan xodimlarni davlat pensiyalari bilan taʼminlash tartibi Davlat pensiyalarini tayinlash, hisoblab chiqarish va toʻlash tartibi qonun bilan belgilab qoʻyiladi. LexUZ sharhi Qarang: Oʻzbekiston Respublikasining “Fuqarolarning davlat pensiya taʼminoti toʻgʻrisida”gi Qonunining VII bobi (“Pensiyalar tayinlash”), VIII (“Pensiyalarni qayta hisoblash”) va IX (“Pensiyalar toʻlash”) hamda Oʻzbekiston Respublikasi Vazirlar Mahkamasining 2011-yil 8-sentabrdagi 252-sonli qarori bilan tasdiqlangan “Davlat pensiyalarini tayinlash va toʻlash tartibi toʻgʻrisida”gi nizom. (Oʻzbekiston Respublikasi Oliy Majlisining Axborotnomasi, 1996-y., 1-songa ilova; 1997-y., 2-son, 65-modda; 1998-y., 5-6-son, 102-modda, 9-son, 181-modda; 1999-y., 1-son, 20-modda, 5-son, 124-modda, 112-modda, 9-son, 229-modda; 2001-y., 5-son, 89-modda, 9-10-son, 182-modda; 2002-y., 1-son, 20-modda, 9-son, 165-modda; Oʻzbekiston Respublikasi qonun hujjatlari toʻplami, 2005-y., 37-38-son, 280-modda; 2009-y., 52-son, 553-modda, 554-modda; 2010-y., 51-son, 483-modda; 2012-y., 37-son, 421-modda; 2013-y., 18-son, 233-modda, 41-son, 543-modda; 2014-y., 4-son, 45-modda; 2015-y., 33-son, 439-modda; 2016-y., 17-son, 173-modda, 52-son, 597-modda; 2017-y., 37-son, 978-modda; Qonun hujjatlari maʼlumotlari milliy bazasi, 05.01.2018-y., 03/18/456/0512-son; 10.01.2018-y., 03/18/459/0536-son, 19.04.2018-y., 03/18/476/1087-son, 24.07.2018-y., 03/18/486/1559-son, 17.10.2018-y., 03/18/501/2056-son; 10.01.2019-y., 03/19/514/2450-son; Oʻzbekiston Respublikasi Oliy Majlisi palatalarining Axborotnomasi, 2019-y., 2-son, 47-modda; Qonun hujjatlari maʼlumotlari milliy bazasi, 11.05.2019-y., 03/19/536/3114-son, 24.05.2019-y., 03/19/542/3177-son, 04.12.2019-y., 03/19/586/4106-son; 28.09.2020-y., 03/20/638/1333-son, 05.10.2020-y., 03/20/640/1348-son, 20.10.2020-y., 03/20/642/1396-son, 04.12.2020-y., 03/20/653/1592-son; Qonunchilik maʼlumotlari milliy bazasi, 21.04.2021-y., 03/21/683/0375-son; 03.08.2021-y., 03/21/705/0742-son, 30.10.2021-y., 03/21/726/1001-son; 10.02.2022-y., 03/22/752/0113-son, 18.05.2022-y., 03/22/770/0424-son)","192","2105","2.66","5.36","0.021","0.21"
"lex.uz","O'zbekiston Respublikasining fuqaroligi to'g'risida","https://lex.uz/docs/-4761984","62","Ushbu Qonunning kuchga kirishi [OKOZ: 1.01.00.00.00 Konstitutsiyaviy tuzum / 01.14.00.00 Davlat organlarining huquq ijodkorligi faoliyati / 01.14.05.00 Normativ-huquqiy hujjatlarni eʼlon qilish va kuchga kirishi] Ushbu Qonun rasmiy eʼlon qilingan kundan eʼtiboran olti oy oʻtgach kuchga kiradi. Ushbu Qonunning 6, 45-moddalari va 55-moddasining 1-bandi 2020-yil 1-apreldan eʼtiboran amalga kiritiladi. Oʻzbekiston Respublikasining Prezidenti Sh. MIRZIYOYEV Toshkent sh., 2020-yil 13-mart, OʻRQ-610-son (Qonun hujjatlari maʼlumotlari milliy bazasi, 14.03.2020-y., 03/20/610/0299-son; Qonunchilik maʼlumotlari milliy bazasi, 21.04.2021-y., 03/21/683/0375-son; 15.06.2021-y., 03/21/696/0553-son, 14.03.2022-y., 03/22/759/0213-son; 29.11.2023-y., 03/23/880/0905-son; 07.02.2024-y., 03/24/905/0106-son; 21.09.2024-y., 03/24/963/0735-son)","81","832","2.14","6.09","0.026","0.225"
"lex.uz","Mehnat kodeksi","https://lex.uz/docs/-142859","124","VII BOB. ISh VAQTI [OKOZ: 1.05.00.00.00 Mehnat va aholining bandligi toʻgʻrisidagi qonunchilik / 05.02.00.00 Mehnat / 05.02.25.00 Ish vaqti / 05.02.25.01 Ish vaqtining muddati] 114-modda. Ish vaqti tushunchasi Xodim ish tartibi yoki grafigiga yoxud mehnat shartnomasi shartlariga muvofiq oʻz mehnat vazifalarini bajarishi lozim boʻlgan vaqt ish vaqti hisoblanadi. LexUZ sharhi Qarang: Idoraviy mansubligi, mulkchilik va xoʻjalik yuritish shakllaridan qatʼi nazar, korxona, muassasa, tashkilot ichki mehnat tartibining namunaviy qoidalari (roʻyxat raqami: 746, 14.06.1999-y.) 4.1-bandi. [OKOZ: 1.05.00.00.00 Mehnat va aholining bandligi toʻgʻrisidagi qonunchilik / 05.02.00.00 Mehnat / 05.02.25.00 Ish vaqti / 05.02.25.01 Ish vaqtining muddati] 115-modda. Ish vaqtining normal muddati Xodim uchun ish vaqtining normal muddati haftasiga qirq soatdan ortiq boʻlishi mumkin emas.","111","875","2.67","6.45","0.01","0.239"
"lex.uz","Mehnat kodeksi","https://lex.uz/docs/-142859","138","Kundalik dam olish vaqtining muddati Ishning tugashi bilan keyingi kuni (smenada) ish boshlanishi oʻrtasidagi kundalik dam olish vaqtining muddati oʻn ikki soatdan kam boʻlishi mumkin emas. [OKOZ: 1.05.00.00.00 Mehnat va aholining bandligi toʻgʻrisidagi qonunchilik / 05.02.00.00 Mehnat / 05.02.28.00 Dam olish va bayram kunlari] 129-modda. Dam olish kunlari Barcha xodimlarga dam olish kunlari (har haftalik uzluksiz dam olish) beriladi. Besh kunlik ish haftasida xodimlarga haftada ikki dam olish kuni, olti kunlik ish haftasida esa, bir dam olish kuni beriladi. Umumiy dam olish kuni yakshanbadir. [OKOZ: 1.05.00.00.00 Mehnat va aholining bandligi toʻgʻrisidagi qonunchilik / 05.02.00.00 Mehnat / 05.02.28.00 Dam olish va bayram kunlari] 130-modda.","103","751","3.58","5.9","0.032","0.244"
"lex.uz","Sudlar to'g'risida","https://lex.uz/docs/-5534923","36","Fuqarolik ishlari boʻyicha tumanlararo, tuman, shahar sudi, jinoyat ishlari boʻyicha tuman, shahar sudi, tumanlararo, tuman, shahar iqtisodiy sudi raisining oʻrinbosari qonunga muvofiq boshqa vakolatlarni ham amalga oshirishi mumkin. 5-bob. Harbiy sudlar 43-modda. Harbiy sudlar tizimi [OKOZ: 1.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.11.00 Harbiy sudlar] Oʻzbekiston Respublikasining harbiy sudlari tizimi Oʻzbekiston Respublikasi Harbiy sudi va hududiy harbiy sudlardan iboratdir. 44-modda. Harbiy sudlarning tarkibi [OKOZ: 1.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.11.00 Harbiy sudlar; 2.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.18.00 Xalq maslahatchilari] Oʻzbekiston Respublikasi Harbiy sudi viloyat sudi huquqi asosida ish yuritadi hamda rais, rais oʻrinbosari, sudyalar va xalq maslahatchilaridan iborat boʻladi.","108","869","2.58","6.68","0.011","0.245"
"lex.uz","Mehnat kodeksi","https://lex.uz/docs/-142859","142","TAʼTILLAR [OKOZ: 1.05.00.00.00 Mehnat va aholining bandligi toʻgʻrisidagi qonunchilik / 05.02.00.00 Mehnat / 05.02.29.00 Taʼtillar / 05.02.29.01 Yillik mehnat taʼtillari] 133-modda. Yillik mehnat taʼtillari Barcha xodimlarga, shu jumladan oʻrindoshlik asosida ishlayotgan xodimlarga, dam olish va ish qobiliyatini tiklash uchun ish joyi (lavozimi) va oʻrtacha ish haqi saqlangan holda yillik mehnat taʼtillari beriladi. LexUZ sharhi Qarang: mazkur Kodeksning 169-moddasi, Idoraviy mansubligi, mulkchilik va xoʻjalik yuritish shakllaridan qatʼi nazar, korxona, muassasa, tashkilot ichki mehnat tartibining namunaviy qoidalari (roʻyxat raqami: 746, 14.06.1999-y.) 4.13 va 4.14-bandlari. [OKOZ: 1.05.00.00.00 Mehnat va aholining bandligi toʻgʻrisidagi qonunchilik / 05.02.00.00 Mehnat / 05.02.29.00 Taʼtillar / 05.02.29.02 Yillik asosiy taʼtil.","101","841","2.43","6.92","0.0","0.246"
"lex.uz","Maktabgacha ta'lim va tarbiya to'g'risida","https://lex.uz/docs/-4646908","1","1.13.00.00.00 Taʼlim. Fan. Madaniyat / 13.01.00.00 Taʼlim / 13.01.04.01 (Кучини йукотган) Maktabgacha ta'lim tashkilotlari / 13.01.61.00 (Кучини йукотган) Taʼlim muassasalari; 2.13.00.00.00 Taʼlim. Fan. Madaniyat / 13.01.00.00 Taʼlim / 13.01.08.00 Taʼlim turlari / 13.01.08.01 Maktabgacha taʼlim va tarbiya] [TSZ: 1.Ijtimoiy-madaniy masalalar / Taʼlim] Oʻzbekiston Respublikasining Qonuni Maktabgacha taʼlim va tarbiya toʻgʻrisida Qonunchilik palatasi tomonidan 2019-yil 22-oktabrda qabul qilingan Senat tomonidan 2019-yil 14-dekabrda maʼqullangan 1-bob. Umumiy qoidalar 1-modda. Ushbu Qonunning maqsadi [OKOZ: 1.13.00.00.00 Taʼlim. Fan. Madaniyat / 13.01.00.00 Taʼlim / 13.01.08.00 Taʼlim turlari / 13.01.08.01 Maktabgacha taʼlim va tarbiya] Ushbu Qonunning maqsadi maktabgacha taʼlim va tarbiya sohasidagi munosabatlarni tartibga solishdan iborat. 2-modda.","100","858","1.58","7.14","0.025","0.247"
"lex.uz","Sudlar to'g'risida","https://lex.uz/docs/-5534923","26","Qoraqalpogʻiston Respublikasi sudi, viloyat, Toshkent shahar sudi qonunga muvofiq boshqa vakolatlarni ham amalga oshirishi mumkin. 34-modda. Qoraqalpogʻiston Respublikasi sudi, viloyat, Toshkent shahar sudining rayosati [OKOZ: 1.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.04.00 Qoraqalpogʻiston Respublikasi jinoyat ishlari boʻyicha sudi, jinoyat ishlari boʻyicha viloyatlar va Toshkent shahar sudlari; 2.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.05.00 Qoraqalpogʻiston Respublikasi, viloyatlar va Toshkent shahar iqtisodiy sudlari; 3.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.07.00 Fuqarolik ishlari boʻyicha tumanlararo, tuman (shahar) sudlari; 4.17.00.00.00 Odil sudlov / 17.02.00.00 Sud tizimi / 17.02.09.00 Tumanlararo, tuman (shahar) iqtisodiy sudlari] Qoraqalpogʻiston Respublikasi sudi, viloyat, Toshkent shahar sudi rayosati shu sudning sudyalaridan iborat tarkibda ish yuritadi.","110","932","2.09","7.21","0.0","0.25"
"lex.uz","Mehnat kodeksi","https://lex.uz/docs/-142859","160","Yillik asosiy uzaytirilgan taʼtillar; 2.05.00.00.00 Mehnat va aholining bandligi toʻgʻrisidagi qonunchilik / 05.02.00.00 Mehnat / 05.02.29.00 Taʼtillar / 05.02.29.03 Yillik qoʻshimcha taʼtillar. Taʼtillar berish tartibi, vaqti va navbati] 146-modda. Taʼtilni qismlarga boʻlish Xodimning xohishiga koʻra uning yozma arizasi asosida taʼtilni qismlarga boʻlishga yoʻl qoʻyiladi. Bunda taʼtilning bir qismi oʻn ikki ish kunidan kam boʻlmasligi lozim. LexUZ sharhi Qarang: Idoraviy mansubligi, mulkchilik va xoʻjalik yuritish shakllaridan qatʼi nazar, korxona, muassasa, tashkilot ichki mehnat tartibining namunaviy qoidalari (roʻyxat raqami: 746, 14.06.1999-y.) 4.17-bandining ikkinchi xatboshisi. [OKOZ: 1.05.00.00.00 Mehnat va aholining bandligi toʻgʻrisidagi qonunchilik / 05.02.00.00 Mehnat / 05.02.29.00 Taʼtillar / 05.02.29.04 Taʼtildan chaqirib olish] 147-modda.","102","865","2.42","7.09","0.0","0.251"
