"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score","domain"
"wikipedia","Al-Qalam universiteti","https://uz.wikipedia.org/wiki/Al-Qalam_universiteti","3","Siyosatshunoslik MSc. Sotsiologiya Ph. D Buxgalteriya Ph. D Arab tili Ph. D Biznes boshqaruvi Ph. D Informatika Ph. D Iqtisodiyot Ph. D Ingliz tili Ph. D Islomshunoslik Ph. D Matematika Ph. D Siyosat Tuzatish IJMB Diplomgacha.","36","226","3.27","5.0","0.139","0.21","education"
"wikipedia","Al-Qalam universiteti","https://uz.wikipedia.org/wiki/Al-Qalam_universiteti","2","BA Xausa tili BA Arab tili BA Ingliz tili BA Islomshunoslik BSc. Biologiya fan BSc. Kimyo BSc. Fizika BSc. Matematika BSc. Kompyuter fanlari BA/Ed Arab tili BA/Ed Hausa tili BA/Ed Islomshunoslik BA/Ed Ingliz tili BA / Ed Matematika BA/Ed Fizika BA/Ed Kimyo BA / Ed Biologiya BA/Ed Geografiya BSc. Buxgalteriya hisobi (toʻliq va yarim kunlik) BSc. Biznes boshqaruvi (toʻliq va yarim kunlik) BSc. Iqtisodiyot (toʻliq va yarim kunlik) BSc. Siyosatshunoslik (kunduzgi va kunduzgi) BSc. Sotsiologiya (toʻliq va yarim kunlik) MA Arab MA Islomshunoslik MA Ingliz tili MBA MSc. Buxgalteriya hisobi MSc. Biznes boshqaruv MSc. Kompyuter fanlari MSc. Iqtisodiyot MSc. Matematika MSc.","101","672","6.62","5.07","0.057","0.232","education"
"wikipedia","Natural son","https://uz.wikipedia.org/wiki/Natural_son","4","Yigʻindining komutativligi. a + b = b + a {\displaystyle \,\!a+b=b+a} Koʻpaytirishining komutativligi. a b = b a {\displaystyle \,\!ab=ba} Yigʻindining assotsiativligi. ( a + b ) + c = a + ( b + c ) {\displaystyle \,\!(a+b)+c=a+(b+c)} Koʻpaytirishining assotsiativligi. ( a b ) c = a ( b c ) {\displaystyle \,\!(ab)c=a(bc)} Koʻpaytirishining yigʻindiga nisbatan distributivligi. { a ( b + c ) = a b + a c ( b + c ) a = b a + c a {\displaystyle \,\!{\begin{cases}a(b+c)=ab+ac\\(b+c)a=ba+ca\end{cases}}} Butun sonlar Ratsional sonlar Haqiqiy sonlar ( saytida 2012-10-22 sanasida arxivlangan) — „Kitoblarni mavzular boʻyicha qidiruvi“ ( saytida 2007-03-03 sanasida arxivlangan)","106","674","8.82","4.48","0.258","0.307","technology"
"wikipedia","Gubkin nomidagi Rossiya Davlat neft va gaz universitetining Toshkent filiali","https://uz.wikipedia.org/wiki/Gubkin_nomidagi_Rossiya_Davlat_neft_va_gaz_universitetining_Toshkent_filiali","4","I. M. Gubkin nomidagi Rossiya davlat neft va gaz universiteti (NRU) Toshkent shahridagi filiali va IP MCHJ „SANOAT ENERGETIKA GURUHI“ oʻrtasida oʻzaro anglashuv memorandumi. I. M. Gubkin nomidagi Rossiya davlat neft va gaz universiteti (NRU) Toshkent shahridagi filiali va Rossotrudnichestvoning Oʻzbekiston Respublikasidagi vakolatxonasi oʻrtasida hamkorlik memorandumi imzolandi.","47","381","7.83","6.87","0.149","0.321","education"
"wikipedia","Hikoya","https://uz.wikipedia.org/wiki/Hikoya","3","Soʻzlab berilgan bunday voqelik oʻz qamrovi, hajmi, rang-barangligi bilan qissa yoki romanga xos boʻlishi ham mumkin. Bunday hollarda bu atama janr maʼnosida tushunilmaydi. Masalan, Oʻ.Hoshimovning „Ikki eshik orasi“ romani 9 personajning 49 ta hikoyasidan tashkil topgan. Sh. Xolmirzayev „Olaboʻji“ asarini „romandan katta hikoya“ deb ataydi. Hozirgi oʻzbek hikoyachiligi O.Muxtor, N.Aminov, S.Siyoyev, F.Musajonov, X.Sultonov, E.Aʼzamov, N.Eshonqulov, Sh. Boʻtayev va boshqa yozuvchilar bilan boyidi. Hikoya inson hayotida yuz bergan ixcham voqeani loʻnda ifodalashga moʻljallangan. Unda shu voqeaga qadar personaj hayotida nima boʻlgan, qanday roʻy bergan, kim bilan – bular toʻgʻrisida maʼlumot berish shart emas. Juda zarur boʻlsa, ayrim detallar orqali ishora qilinishi mumkin.","101","783","5.94","5.99","0.327","0.327","culture"
"wikipedia","Kattatepa","https://uz.wikipedia.org/wiki/Kattatepa","1","Kattatepa — oʻrta asr shahar harobasi (7—XII asrlar). Sherobod (Surxondaryo viloyati)dan 7 km. jan.-gʻarbda joylashgan. Mayd. 20 ga. Surxondaryo viloyatidagi ilk oʻrta asrlarga oid eng yirik shahar harobasi hisoblanadi. K. 3 qism va raboddan iborat boʻlib, ularning barchasi mudofaa devori bilan oʻrab olingan. Bu yerdan VII asr oxiri — VIII asr 1-yarmiga oid sopol parchalari topilib, ularda Qurʼon oyatlari bitilgan. E. V. Rtveladzening fikricha, K. oʻrnida ilk oʻrta asrlarda Xushvarogʻ sh. joylashgan. Xushvarogʻ atrofi 3 qator mudofaa devorlari bilan oʻralgan yirik shahar boʻlib, arablar istilosidan avval Sheroboddaryo havzasidagi Kufton rustoqining markazi hisoblangan. 5—VIII asrlarda shaharning oʻz zarbxonasi boʻlib, faqat Sheroboddaryo havzasida muomalada boʻlgan kumush va mis tangalar zarb etilgan.","109","812","6.18","6.32","0.305","0.332","culture"
"wikipedia","Natural son","https://uz.wikipedia.org/wiki/Natural_son","1","1] Natural son deb sanash (sanoq) uchun ishlatiladigan sonlarga aytiladi. Natural sonlar toʻplami N {\displaystyle \mathbb {N} } harfi bilan belgilanadi. 2] Natural sonlar qatori cheksizdir. Natural sonlar qatori: 1,2,3,4,5,6,7… [ 0(nol) natural son emas]. 3] Natural sonlar cheksizdir. 4] Natural sonlar ustida amallar. Natural songa natural son qo'shilsa natija har doim natural son bo'ladi. 7+10=17 Bunda 7 soni 1-qoʻshiluvchi, 10 soni 2-qoʻshiluvchi, 17 soni yigʻindi deyiladi. Natural sondan natural son ayrilsa natija natural son bo'lish ham mumkin, natural son bo'lmasligi ham mumkin. 14-6=8. 11-34=-23 Bunda 14(va 11) soni kamayuvchi, 6( va 34) soni ayriluvchi, 8(va -23) soni ayirma deyiladi.","100","701","7.55","6.05","0.277","0.335","technology"
"wikipedia","Iqtisodiy statistika","https://uz.wikipedia.org/wiki/Iqtisodiy_statistika","3","Ay-rim hollarda matematik statistika usullaridan foydalaniladi. Oʻzbekistonda I.s. amaliyoti bilan alohida vazirlik — Makroiqtisodiyot va statistika vazirligi va uning viloyat, shahar va tuman boʻlimlari shugʻullanadi.","25","218","6.5","7.19","0.231","0.336","economy"
"wikipedia","In","https://uz.wikipedia.org/wiki/In","1","In — hayvonlarning tuproqda qazigan vaqtinchalik yoki doimiy yashaydigan makoni, pana joy. Ayrim hollarda toshlar orasida, yogʻochlarda, qorda ham I. quriladi. I. yirtqichlardan va sovuq havodan himoya qiladi yoki unda oziqovqat saqlanadi; hayvonlar juftlashadi va avlodlarini voyaga yetkazadi. Kemiruvchilar, boʻrsiqlar, tulkilar I.ini doimo tuzatib turadi; I.da ular uzoq vaqt, hatto yuz va ming yillab yashashi mumkin. Murakkab tuzilgan I.dan I. egalari bilan birga boshqa organizmlar ham foydalanadi. I. murakkab biotsenoz boʻlib, ayrim sut emizuvchilar I.ida xavfli kasallik (oʻlat, ley-shmanioz) tarqatuvchi hayvonlar yashashi mumkin. Shu sababli I. koʻp boʻlgan hududlarda xavfli kasalliklar manbai boʻlishi uchun sharoit tugʻiladi (yana q. Uya).","99","753","6.06","6.04","0.35","0.337","science"
"wikipedia","Degreztepa","https://uz.wikipedia.org/wiki/Degreztepa","1","Degreztepa — shahar harobasi (1 — 5—VIII asrlar). Surxondaryo viloyati Oltin-soy tumani Degrez suv omborining jan.-gʻarbida. Toʻgʻri toʻrtburchak tarxli. Mayd. 6 ga dan ortiq. Mudofaa devorlarining qoldiklari tepaliklar (eni 10 m, boʻyi 4 m) sifatida saqlanib qolgan. Burchaklar minoralar bilan himoyalangan. 3 ta darvozasi boʻlgan. Shahar arkining atrofi xandaq bilan oʻralgan. Kushonlar davri va ilk oʻrta asrlarga oid sopol idishlar topilgan.","61","445","5.09","6.38","0.375","0.34","culture"
