"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score","domain","subcategory"
"sports.uz","Ispaniya terma jamoasi jahon rekordini takrorladi","https://sports.uz/news/view/ispaniya-terma-jamoasi-jahon-rekordini-takrorladi","2","Argentina — 36 oʻyin (2019–2022); 4–5. Braziliya — 35 oʻyin (1993–1996); 4–5. Ispaniya — 35 oʻyin (2007–2009).","17","110","2.0","6.83","0.0","0.197","sport","football"
"sports.uz","Eng ko‘p jahon chempionlarini tarbiyalagan klub qaysiligini bilasizmi?","https://sports.uz/news/view/eng-kop-jahon-chempionlarini-tarbiyalagan-klub-qaysiligini-bilasizmi-21-07-2026","2","Tarixda jahon chempionlari eng ko‘p bo‘lgan klublar reytingi: - «Yuventus» — 28 nafar futbolchi. - «Bavariya» — 23. - «Inter» — 22. - «Barselona» — 20 (+8). - «Roma» — 18. - «Penyarol» — 15. - «Santos» — 15. - «Real» Madrid — 13. - «Nasyonal» — 12. - «San-Paulu» — 12.","52","268","2.4","5.79","0.125","0.214","sport","football"
"sports.uz","Messining JCh-2026 «Oltin to‘p»ni olish ehtimoli Angliya ustidan g‘alabadan so‘ng 88 foizga yetdi","https://sports.uz/news/view/messining-jch-2026-oltin-to-p-ni-olish-ehtimoli-angliya-ustidan-g-alabadan-so-ng-88-foizga-yetdi","2","Polymarket versiyasiga ko‘ra, JCh-2026ning eng yaxshi o‘yinchisi bo‘lish ehtimoli quyidagicha taqsimlangan: 1. Lionel Messi (Argentina) — 88% (+76%). 2. Rodri (Ispaniya) — 9% (-2%). 3. Lamin Yamal (Ispaniya) — 2% (-16%). 4. Kilian Mbappe (Fransiya) — 1% (-13%). 5. Jud Bellingem (Angliya) — 1%. 6. Garri Kein (Angliya) — 1 foizdan kam.","52","335","2.83","5.97","0.147","0.231","sport","football"
"sports.uz","Messi zo‘rlar reytingida birinchi o‘ringa ko‘tarildi","https://sports.uz/news/view/messi-zo-rlar-reytingida-birinchi-o-ringa-ko-tarildi","1","Messi zo‘rlar reytingida birinchi o‘ringa ko‘tarildi The Athletic nashriAQSh, Meksika va Kanadada o'tayotgan jahon chempionati ishtirokchilari orasida eng kuchli futbolchilarning yangilangan reytingini e'lon qildi. Yarim final bahslaridan so'ng ham Argentina terma jamoasi yetakchisi Lionel Messi ro'yhatning birinchi pog'onasini saqlab qoldi. Fransiya terma jamoasi yulduzi Kilian Mbappe ikkinchi o'rinni egallagan, uchinchi pog'onaga esa Ispaniya yarim himoyachisi Rodri joylashgan. The Athletic talqiniga ko'ra, JCh–2026ning eng yaxshi 10 futbolchisi quyidagicha: 1. Lionel Messi (Argentina). 2. Kilian Mbappe (Fransiya). 3. Rodri (Ispaniya). 4. Jud Bellingem (Angliya). 5. Garri Keyn (Angliya). 6. Erling Holand (Norvegiya). 7. Emerik Laport (Ispaniya). 8. Pau Kubarsi (Ispaniya). 9. Maykl Olise (Fransiya). 10.","103","815","4.36","6.75","0.094","0.255","sport","football"
"sports.uz","Mundialda eng zo‘r o‘ynayotgan futbolchi kim?","https://sports.uz/news/view/mundialda-eng-zo-r-o-ynayotgan-futbolchi-kim","2","Vinisius Juniyor (Braziliya). 10. Emerik Laport (Ispaniya). Eslatib o'tamiz, 2026 yildgi jahon chempionati 11 iyundan boshlab AQSh, Kanada va Meksika hududida o'tmoqda. Musobaqaning hal qiluvchi bahsi 19 iyul kuni AQShning Ist-Raterford shahrida bo'lib o'tadi.","34","260","6.2","6.61","0.032","0.258","sport","football"
"sports.uz","Mundialda eng zo‘r o‘ynayotgan futbolchi kim?","https://sports.uz/news/view/mundialda-eng-zo-r-o-ynayotgan-futbolchi-kim","1","Mundialda eng zo‘r o‘ynayotgan futbolchi kim? The Athletic amaliy nashri AQSh, Meksika va Kanadada o'tayotgan jahon chempionati ishtirokchilari orasidagi eng kuchli futbolchilarning yangilangan reytingini e'lon qildi. Ro'yhatning birinchi pog'onasidan Argentina terma jamoasi yetakchisi, hujumchi Lionel Messi joy oldi. Ikkinchi o'rinni Frantsiya terma jamoasi yulduzi Kilian Mbappe egallagan. Angliya terma jamoasi yarim himoyachisi Jud Bellingem esa uchinchi pog'onaga qo'yilgan. The Athletic talqiniga ko'ra, ""JCh–2026""ning eng kuchli 10 futbolchisi: 1. Lionel Messi (Argentina). 2. Kilian Mbappe (Frantsiya). 3. Jud Bellingem (Angliya). 4. Garri Keyn (Angliya). 5. Erling Xoland (Norvegiya). 6. Maykl Olise (Frantsiya). 7. Usman Dembele (Frantsiya). 8. Ashraf Hakimi (Marokko). 9.","100","784","4.23","6.7","0.118","0.259","sport","football"
"sports.uz","Arsenal ketgan hujumchi o‘rniga zo‘rini topdi","https://sports.uz/news/view/arsenal-ketgan-hujumchi-orniga-zorini-topdi-19-07-2026","2","Tsolis Belgiya klubi safida 108 uchrashuvda 43 ta gol urgan. Tsolis Angliya futboli bilan ham yaxshi tanish. U 2021 yildan 2024 yilgacha “Norvich” safida 30 o‘yinda 3 ta gol urgan.","30","180","8.33","5.16","0.08","0.264","sport","football"
"sports.uz","JCh-2026. Final: Ispaniya — Argentina onlayn hisob","https://sports.uz/news/view/jch-2026-final-ispaniya-argentina-onlayn-hisob-19-07-2026","1","“JCh-2026”. Final: Ispaniya — Argentina onlayn hisob “Jahon chempionati — 2026” final uchrashuvi Ispaniya va Argentina terma jamoalari oʻrtasida boʻlib oʻtadi. Ushbu bahsni Sports.uz sayti orqali hisobni onlayn kuzatib boring. “Jahon chempionati — 2026” final uchrashuvi Ispaniya va Argentina terma jamoalari oʻrtasida boʻlib oʻtadi. Ushbu bahsni Sports.uz sayti orqali hisobni onlayn kuzatib boring.","53","400","7.14","6.36","0.04","0.266","sport","football"
"sports.uz","Superliga. ""Andijon"" - ""Surxon"": Asosiy tarkiblar ma'lum","https://sports.uz/news/view/superliga-andijon-surxon-asosiy-tarkiblar-malum-18-07-2026","1","Superliga. ""Andijon"" - ""Surxon"": Asosiy tarkiblar ma'lum Superliga 12-turidan o‘rin olgan ""Andijon"" - ""Surxon"" bahsi boshlanish arafasida. Bellashuv oldidan asosiy tarkiblar bilan tanishing. Superliga 12-turidan o‘rin olgan ""Andijon"" - ""Surxon"" bahsi boshlanish arafasida. Bellashuv oldidan asosiy tarkiblar bilan tanishing.","39","324","7.6","6.76","0.0","0.27","sport","football"
"sports.uz","""JCh-2026"". Angliya — Argentina uchrashuvi uchun asosiy tarkiblar ma'lum","https://sports.uz/news/view/jch-2026-angliya-argentina-uchrashuvi-uchun-asosiy-tarkiblar-malum-15-07-2026","1","""JCh-2026"". Angliya — Argentina uchrashuvi uchun asosiy tarkiblar ma'lum ""Jahon chempionati — 2026"" yarim finalidan o‘rin olgan Angliya va Argentina o‘rtasidagi o‘yin uchun asosiy tarkiblar e’lon qilindi. Uchrashuv 00:00da boshlanadi. ""Jahon chempionati — 2026"" yarim finalidan o‘rin olgan Angliya va Argentina o‘rtasidagi o‘yin uchun asosiy tarkiblar e’lon qilindi. Uchrashuv 00:00da boshlanadi.","51","396","10.8","5.57","0.0","0.283","sport","football"
