"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","8","Hozircha o‘sha Instagram. Bu ham bir kun yo‘q bo‘ladi. Hamma narsa aylanib kelaveradi. Endi qachon yo‘q bo‘ladi, uni Alloh biladi. O‘sha qo‘rqmaslik kerak. Allohning aytganini qilish kerak. Rizqni beraveradi. Vayndan keyin. O‘zi shunaqa chevar, shunaqa yo‘lini qilib qo‘yadi. Men oldin qo‘rqardim. Rostdan ham Allohni tanimasdan oldin men qo‘rqardim. Ertaga nima bo‘ladi, nima qilaman, och qolsak-chi, unaqa qilsak-chi, qayg‘uga botar edim. Hozir bitta ham qayg‘urmayman. Chunki Allohim bor. Mehribon.” “To‘rtta chaqaloq. To‘rt quti bo‘tqa” Fotima Nazarovaning fikrlariga Shahzoda Albayeva qo‘shimcha qildi. “Bizni hayot shunaqa tarbiyalab qo‘ydi-da. Biz och qolishdan yoki rizqimiz kelmay qolishidan qo‘rqmaydigan bo‘lib qoldik. Qo‘rqmayman. Qiyinchiliklar shunaqa qilib qo‘ydi desak ham bo‘ladi.","103","797","6.24","4.85","0.374","0.358"
"kun.uz","Qamchiq dovonida “Lasetti” yonib ketdi.","https://kun.uz/news/2026/07/11/qamchiq-dovonida-lasetti-yonib-ketdi-54bb8e","2","Hozirda yong‘in sababi va moddiy zarar miqdori aniqlanmoqda. Hodisa oqibatida tan jarohati olganlar yo‘q. Mavzuga oid 10:15 / 01.07.2026 Qamchiqda yonilg‘i tashuvchi maxsus avtomobil YTHga uchradi 14:06 / 11.06.2026 Qamchiq dovonida avtomobil jarlikka tushib ketdi 08:46 / 18.05.2026 Qamchiqda tog‘da adashgan 7 nafar fuqaro qutqarib qolindi 18:30 / 28.04.2026","49","360","3.64","6.03","0.4","0.359"
"wikipedia","Gubkin nomidagi Rossiya Davlat neft va gaz universitetining Toshkent filiali","https://uz.wikipedia.org/wiki/Gubkin_nomidagi_Rossiya_Davlat_neft_va_gaz_universitetining_Toshkent_filiali","4","I. M. Gubkin nomidagi Rossiya davlat neft va gaz universiteti (NRU) Toshkent shahridagi filiali va IP MCHJ „SANOAT ENERGETIKA GURUHI“ oʻrtasida oʻzaro anglashuv memorandumi. I. M. Gubkin nomidagi Rossiya davlat neft va gaz universiteti (NRU) Toshkent shahridagi filiali va Rossotrudnichestvoning Oʻzbekiston Respublikasidagi vakolatxonasi oʻrtasida hamkorlik memorandumi imzolandi.","47","381","7.83","6.87","0.149","0.376"
"kun.uz","Argentina ham yarimfinalga chiqdi.","https://kun.uz/news/2026/07/12/argentina-ham-yarimfinalga-chiqdi","3","Mavzuga oid 14:50 / 11.07.2026 JCh anonsi. Holand Keynga qarshi, Argentinada ilk jiddiy raqib 10:18 / 08.07.2026 JCh kundaligi. Messida rekord va antirekord, Shveytsariya kuchli sakkizlikda 08:49 / 08.07.2026 Argentinada afsonaviy 13 daqiqa. Amaldagi chempionlar kambek qilishdi 17:30 / 07.07.2026","40","297","2.25","6.93","0.444","0.377"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","7","Nima bo‘ladi keyin? Shu haqida o‘ylaganmisizlar deb so‘radik ulardan. “O‘ylaganman”, – deydi Shahzoda. “Aytaman-ku, birxillikdan zerikaman deb. Bu yo‘nalishdan ham zerikib qolmayman deb javob bera olmayman o‘zimga. Izlaganga yo‘l ko‘p. Xavotir olmaymiz. Rizq berguvchi Alloh. Bizning shiorimiz shu. Rizq Allohdan. Biz bu yo‘nalishda bo‘lamizmi, boshqa yo‘nalishda bo‘lamizmi, mana shu nonimiz keladi baribir. Qo‘rquv yo‘q. Yo‘q, yo‘q, umuman qo‘rqmaslik kerak”. “Vaynlar vaqtinchalik!” Fotima opa Siz nima deb o‘ylaysiz, vaynlarning umri qancha, qancha vaqtdan keyin vaynlarni xalq qabul qilmay qo‘yadi, sizningcha? “Menimcha, tegirmon navbati bilan deydi-ku. Bir mahallar kino zo‘r edi. Undan keyin seriallar zo‘r bo‘ldi. Serialdan keyin sekin-sekin komediya rivojlandi. Mana eng qisqasi vaynlar, endi odamlarning boshqasiga sabri qolmadi.","108","840","6.6","5.07","0.409","0.38"
"kun.uz","Toshkent Osiyodagi yashash uchun eng qimmat shaharlar reytingida 74-o‘rinda qayd etildi.","https://kun.uz/news/2026/07/11/toshkent-osiyodagi-yashash-uchun-eng-qimmat-shaharlar-reytingida-74-orinda-qayd-etildi-68d46d","2","Hindistonning o‘ndan ortiq shaharlari esa 17,3-18,8 ball bilan eng arzon shaharlar sifatida qayd etilgan. Reytingni tuzishda Nyu-Yorkdagi yashash qiymati olingan bo‘lib, unga 100 ball berilgan. Undan yuqori har bir ball yashash narxining bir foizga qimmatligini, har bir past ball esa arzonligini bildiradi. Misol uchun, Tsyurixda yashash narxi Nyu-Yorkdagidan 23,4 foizga qimmat, Toshkentda esa 68,6 foizga arzon. Mazkur indeksni tuzishda uy-joy ijarasi, oziq-ovqat, restoranlar, xarid qilish salohiyati kabilar hisobga olingan. Mavzuga oid 08:40 / 09.07.2026 JSST Markaziy Osiyoni jazirama xavfidan ogohlantirdi 18:06 / 08.07.2026 Yevropa va Markaziy Osiyoda jazirama issiqning yangi to‘lqinlari kutilmoqda - JSST 12:11 / 06.07.2026 O‘zbekistonda birinchi Xalqaro islom forumi boshlanmoqda 19:35 / 05.07.2026","106","810","6.93","6.19","0.299","0.386"
"wikipedia","Hikoya","https://uz.wikipedia.org/wiki/Hikoya","3","Soʻzlab berilgan bunday voqelik oʻz qamrovi, hajmi, rang-barangligi bilan qissa yoki romanga xos boʻlishi ham mumkin. Bunday hollarda bu atama janr maʼnosida tushunilmaydi. Masalan, Oʻ.Hoshimovning „Ikki eshik orasi“ romani 9 personajning 49 ta hikoyasidan tashkil topgan. Sh. Xolmirzayev „Olaboʻji“ asarini „romandan katta hikoya“ deb ataydi. Hozirgi oʻzbek hikoyachiligi O.Muxtor, N.Aminov, S.Siyoyev, F.Musajonov, X.Sultonov, E.Aʼzamov, N.Eshonqulov, Sh. Boʻtayev va boshqa yozuvchilar bilan boyidi. Hikoya inson hayotida yuz bergan ixcham voqeani loʻnda ifodalashga moʻljallangan. Unda shu voqeaga qadar personaj hayotida nima boʻlgan, qanday roʻy bergan, kim bilan – bular toʻgʻrisida maʼlumot berish shart emas. Juda zarur boʻlsa, ayrim detallar orqali ishora qilinishi mumkin.","101","783","5.94","5.99","0.393","0.393"
"uza.uz","Xoland: “Angliyani mag‘lub etishga juda yaqin edik”","https://uza.uz/uz/posts/xoland-angliyani-maglub-etishga-juda-yaqin-edik_881722","2","Bugungi uchrashuv oldidan imkoniyatlarni 50 ga 50 deb baholagandim. Angliya juda kuchli jamoa va bahs ham juda og‘ir kechdi”, — dedi Xoland. Eslatib o‘tamiz, Angliya JCH–2026 yarim finalida Argentinaga qarshi maydonga tushadi. Ikkinchi yarim finalda esa Ispaniya va Fransiya o‘zaro kuch sinashadi.","42","297","10.5","5.62","0.19","0.394"
"kun.uz","Bektemir tumanida «zakladchik»lar qo‘lga olindi.","https://kun.uz/news/2026/07/11/bektemir-tumanida-zakladchiklar-qolga-olindi-5b0a3b","2","Mazkur holatlar yuzasidan jinoyat ishi qo‘zg‘atildi. Gumonlanuvchilarga nisbatan qamoqqa olish ehtiyot chorasi qo‘llanildi. Mavzuga oid 11:10 / 01.07.2026 Toshkentda Tracker va BYD ishtirokida YTH sodir bo‘ldi 18:59 / 09.05.2026 Toshkentda o‘yinchoq mashinada avtomobil yo‘lida harakatlangan bolaning otasi javobgarlikka tortildi 12:52 / 02.03.2026 Bektemir tumanida piyoda ishtirokida YTH sodir bo‘ldi 13:01 / 03.02.2026","52","421","4.27","6.32","0.468","0.398"
"uza.uz","Енгил атлетикачиларимиз Осиё чемпионатида умумжамоада иккинчи ўринда","https://uza.uz/uz/posts/engil-atletikachilarimiz-osiyo-chempionatida-umumzhamoada-ikkinchi-orinda_881750","2","Умумжамоа ҳисобида Хитой терма жамоаси 19 та олтин, 12 кумуш ва 5 та бронза медали билан етакчилик қилмоқда. 2-ўринда бораётган Ўзбекистон терма жамоаси ҳисобида 3 та олтин, 5 та кумуш, 4 та бронза медаллари мавжуд. 3 тадан олтин ва кумуш, 1 та бронза медалига эга Япония терма жамоаси аъзолари кучли учликка якун ясаган. Бугун, 12 июль куни чемпионатнинг сўнгги кунги мусобақалари бўлиб ўтади. Т.Рўзиев, ЎзА","65","408","9.5","5.6","0.263","0.399"
