text,simplified_text
Oʻzbekiston Respublikasi Prezidentining “Yerlar degradatsiyasiga qarshi kurashishning samarali tizimini yaratish chora-tadbirlari toʻgʻrisida” 2022-yil 10-iyundagi PQ-277-son qaroriga muvofiq: Oʻzbekiston Respublikasi Qishloq,"O'zbekiston Respublikasi Prezidentining ""Yerlar degradatsiyasiga qarshi kurashishning samarali tizimini yaratish chora-tadbirlari to'g'risida"" 2022-yil 10-iyundagi PQ-277-son qaroriga muvofiq: O'zbekiston Respublikasi Qishloq Yasab-honalar Asosida"
xoʻjaligi vazirligi huzuridagi Qishloq xoʻjaligida bilim va innovatsiyalar milliy markazi tizimidagi Tuproqshunoslik va agrokimyo ilmiy-tadqiqot instituti Tuproqshunoslik va agrokimyoviy tadqiqotlar,Xoʻjaligi vazirligi huzuridagi Qishloq xoʻjaligida bilim va innovatsiya markazi tizimidagi Tuproqshunoslik va agrokimyo instituti Tuproqshunoslik va agrokimyoviy tadqiqotlar
uning xodimlari (ilmiy xodimlardan tashqari) mehnatiga haq toʻlash boʻyicha xarajatlarini Oʻzbekiston Respublikasi Davlat budjeti mablagʻlari hisobidan moliyalashtirishning amaldagi tartibi saqlab,Xodimlarning mehnati uchun harajatlar Oʻzbekiston Respublikasi Davlat budjetidan moliyalashtirilishi asosiy tizimini saqlab qoldiradi.
"qolinganligi; Andijon, Buxoro, Qashqadaryo va Xorazm viloyatlarida Institutning mintaqaviy boʻlinmalari (keyingi oʻrinlarda — mintaqaviy boʻlinmalar) tashkil etilishi hamda Institutning amaldagi","Andijon, Buxoro, Qashqadaryo va Xorazm viloyatlarida institutning taomlari yasaydi (keyingi o'rarda — bo'linmalari). Institutning ishchilari shu joylarda amalga oshirilishi hamyoki."
mavjud 8 ta shtat birligi teng ulushlarda mintaqaviy boʻlinmalariga oʻtkazilishi hamda mazkur shtat birliklari Oʻzbekiston Respublikasi Davlat budjeti mablagʻlari hisobidan,8 shtat birligi mavjud. Ular ulushlarda mintaqaviy bo‘linmalariga otkazilindi. Bu shtat birliklari O‘zbekiston Respublikasi Davlat budjeti mablag‘lari hisobida ishlaydi.
moliyalashtirilishi; Institut mintaqaviy boʻlinmalarining bino va inshootlarini saqlash xarajatlari har yili Oʻzbekiston Respublikasi respublika budjetidan Qishloq xoʻjaligi vazirligiga ajratiladigan mablagʻlarning,Moliyani o'zaro bino va inshootlarini saqlash uchun Institutga har yili O‘zbekiston Respublikasi respublika budjetidan ajratiladi. Bu mablag' Qishloq xo'jaligi vazirligiga beriladi.
cheklangan miqdorlari doirasida amalga oshirilishi belgilanganligi maʼlumot uchun qabul qilinsin. 2.,cheklangan miqdorlari belgilanganligi ma'lumot uchun qabul qilinsin. 2
"Quyidagilar Institutning asosiy vazifalari va faoliyat yoʻnalishlari etib belgilansin: tuproqshunoslik va agrokimyo yoʻnalishlarida, jumladan yerlarning degradatsiyasi hamda choʻllanishi jarayonlarining oldini","Institutning asosiy vazifalari va faoliyat yo'naltirilishi quyidagicha: tuproqshunoslik va agrokimyo, yer degradatsiyasi va cho'llanishi bo'yicha."
"olish va oqibatlarini bartaraf etish boʻyicha dolzarb fundamental, ilmiy-amaliy va innovatsion tadqiqot loyihalarini amalga oshirish hamda ushbu yoʻnalishlardagi ilmiy-tadqiqot ishlarini","Olish va oqibatni tayyorlaymiz. Hamda fundamental, amaliy va innovatsion tadqiqotini bajaramiz va bu yo'nalishlarda ishlarni amalga oshiramiz."
"muvofiqlashtirish; sugʻoriladigan va lalmi yerlarning unumdorlik darajasini aniqlashning ilmiy asoslangan usullarini va ilmiy-amaliy tavsiyalarni ishlab chiqish, tuproqni baholash (bonitirovka) ishlarini","muvofiqlashtirish; sugʻoriladigan va lalmi yerlarning unumdorlik darajasi aniqlash usullarini va tavsiyalarni ishlab chiqish, tuproqni baholash (bonitirovka) ishlarini"
"amalga oshirish va sertifikat berish; tuproqning holatini operativ kuzatish va diagnostika qilish, uning unumdorligi boʻyicha “Tuproq klinikasi” xizmatlarini koʻrsatish, tuproqning","amalga oshirish va sertifikat berish; tuproqning holati operativ kuzatilishi va diagnostika qilish, uning unumdorligi bo'yicha ""Tuproq klinikasi"" xizmatlarini ko'shatish."
"holatini tahlil qilish boʻyicha laboratoriyalar faoliyatini muvofiqlashtirish; tuproqning holatini tahlil qilish boʻyicha xalqaro standartlarni joriy etish, davlat standarti talablarini xalqaro","Laboratoriyalar holati tahliliga o'xshash faoliyatini muvofiqlashtirish; tuproqning holatini tahlilga o'xshash xalqaro standartlarni joriy etish, davlat standartlarini ta'minlash."
talablar bilan uygʻunlashtirish hamda tuproqshunoslik va agrokimyo yoʻnalishida sinov va tahlillar oʻtkazish boʻyicha arbitraj (referens) faoliyatini amalga oshirish; tuproqning shoʻrlanganlik,"talablar bilan uygʻunlashtirib, tuproqshunoslik va agrokimyo yoʻnalishida sinov va tahlillar oʻtkazish boʻyicha arbitraj faoliyatini amalga oshirish; shoʻrlanganlik aniqlash"
"va eroziyalanganlik hamda agrokimyoviy xaritalarini ishlab chiqish hamda amaliyotga joriy qilish; tuproqning organik uglerod, oziqa elementlari zaxiralari va ularning harakatchan","va eroziyalanganlik va agrokimyoviy xaritalarini ishlab chiqish va amaliyotga joriy qilish; tuproqning organik uglerodlari, oziqa elementlari zaxiralari va ularning harakatchan"
Institutning yangi tashkil etilayotgan: Andijon viloyati mintaqaviy boʻlinmasiga — Andijon viloyati Andijon shahrining Eski Oʻsh koʻchasidagi 132-uy manzilida joylashgan Andijon,Institutning yangi tashkil etilayotgan: Andijon viloyati mintaqaviy boʻlinmasiga — Andijon viloyati Andijon shahrining Eski Oʻsh koʻchasidagi 132-uy manzilida joylashgan.
viloyati veterinariya va chorvachilikni rivojlantirish boshqarmasiga tegishli bino va inshootlar; Buxoro viloyati mintaqaviy boʻlinmasiga — “Urugʻchilikni rivojlantirish” markazining Buxoro viloyati,viloyati veterinariya va chorvachilikni tashkil etish boshqarmasiga tegishli bino va inshootlar; Buxoro viloyati mintaqaviy boʻlinmasiga — “Urugʻchilikni rivojlantirish” markazi
Buxoro tumani “Rabotiqalmoq” QFY Koʻchkisafed qishlogʻidagi 56-uy manzilida joylashgan Buxoro viloyati boshqarmasiga tegishli bino va inshootlar; Qashqadaryo viloyati mintaqaviy boʻlinmasiga,"Buxoro tumani ""Rabotiqalmoq"" QFY Ko'chkisafed qishlog'i 56-uy manzilida joylashgan Buxoro viloyati boshqarmasiga tegishli bino va inshootlar; Qashqadaryo viloyati mintaqaviy bo'linmasiga."
— Qashqadaryo viloyati Qarshi shahrining “Ravoq” MFY Islom Karimov koʻchasidagi 62-uy manzilida joylashgan Qarshi qurilish kasb-hunar kollejiga tegishli oʻquv-ishlab chiqarish,"Qashqadaryo viloyati Qarshi shahri ""Ravoq"" MFY Islom Karimov ko'chida 62-uy manzilga joylashtirilgan Qarshi qurilish kasb-hunar kollejiga tegishli o'quv-ishlab chiqarish."
ustaxonasi binosi; Xorazm viloyati mintaqaviy boʻlinmasiga — Xorazm viloyati Xiva shahrining Buyuk yoʻl koʻchasidagi 2-uy manzilida joylashgan Xiva tumani irrigatsiya,Ustaxonasi binosi; Xorazm viloyati mintaqaviy bo‘linmasiga — Xorazm viloyati Xiva shahri Buyuk yulduz ko'chining 2-uy manzilida joylashgan Xiva tumani irrigatsiya.
boʻlimiga tegishli bino va inshootlar operativ boshqaruv huquqi asosida bepul berilsin. 5.,bino va inshootlar operativ boshqaruv huquqi boʻlimga bepul berilsin. 5.
"Belgilansinki: Institutning Andijon, Buxoro, Qashqadaryo va Xorazm viloyatlaridagi mintaqaviy boʻlinmalarining bino va inshootlarini taʼmirlash hamda jihozlash bilan bogʻliq xarajatlar Oʻzbekiston","Belgilansungi: Institutning Andijon, Buxoro, Qashqadaryo va Xorazm viloyatlaridagi mintaqaviy bo‘linmalarini bino va inshoot qilish uchun xarajatlari Oʻzbekiston."
Respublikasi Prezidentining “Xalqaro tiklanish va taraqqiyot banki hamda Xalqaro taraqqiyot uyushmasi ishtirokida “Oʻzbekiston Respublikasi qishloq xoʻjaligini modernizatsiya qilish” loyihasini amalga,"Respublikali Prezidentining ""Xalqaro tiklanish va taraqqiyot banki hamda Xalqaro taraqqiyot uyushmasi ishtirokida 'Oʻzbekiston qishloq xoʻjaligini modernizatsiya qilish' loyihasini amalga oshirish"" huquqi."
oshirish chora-tadbirlari toʻgʻrisida” 2020-yil 11-avgustdagi PQ-4803-son qaroriga 2a-ilovaning 1-bandida nazarda tutilgan mablagʻlar doirasida amalga oshiriladi; Institutning markaziy laboratoriyasini rivojlantirish uchun,Oshirish chora-tadbirlari to‘g‘risida 2020-yil 11-avgustdagi PQ-4803-qaroriga 2-a ilovaning 1-bandi nazarda tutilgan mablag‘lar doirasida amalga oshiriladi; Institutning markaziy laboratoriyasini rivojlantirish uchun.
"“Oʻzbekiston Respublikasi qishloq xoʻjaligini modernizatsiya qilish” loyihasi doirasida 1,8 mln AQSh dollari miqdorida mablagʻ ajratiladi; Institutning mintaqaviy boʻlinmalarida tuproq tahlili","O'zbekiston Respublikasi qishloq xo'jaligini modernizatsiya qilish loyihasi 1,8 mln AQSh dollari miqdorda mablag' ajratiladi; Institutning mintaqaviy bo'linmalarida tuproq tahlili amalga oshirilishi keltirilgan."
Mazkur qarorning bajarilishini nazorat qilish Oʻzbekiston Respublikasi Bosh vazirining agrar va oziq-ovqat sohalarini rivojlantirish masalalari boʻyicha oʻrinbosari Sh.M.,Oʻzbekiston Respublikasi Bosh Vaziri Sh.M. qadamatlar oʻrinbosori bilan Mazkur Qarorning bajarilishini nazorat qilishi uchun tashkil etdi.
"ARIPOV Toshkent sh., 2022-yil 19-iyul, 389-son Vazirlar Mahkamasining 2022-yil 19-iyuldagi 389-son qaroriga 1-ILOVA Oʻzbekiston Respublikasi Qishloq xoʻjaligi vazirligi huzuridagi Tuproqshunoslik","ARIPOV Toshkent sh., 2022-yil 19-iyul, 389-son Vazirlar Mahkamasining 1-ILOVA 2022-yil 19-iyuldagi 389-son qaroriga Tuproqshunoslik Qishloq xoʻjaligi vazirligi huzuridagi"
va agrokimyoviy tadqiqotlar institutining TUZILMASI Direktorning ilm-fan va ilmiy faoliyat boʻyicha maslahatchisi * Direktor * Ilmiy kengash Direktorning ilmiy ishlar,"va agrokimyoviy tadqiqotlar institutining struktura:
* Direktor
* Direktorning ilm-fan va ilmiy faoliyat boʻyicha maslahatchisi
* Ilmiy kengash Direktorning ilmiy ishlar"
va innovatsiyalar boʻyicha oʻrinbosari * Ilmiy kotib * Direktorning ishlab chiqarish va umumiy ishlar boʻyicha oʻrinbosari * Xodimlar bilan ishlash,"va innovatsiyalar uchun oʻrinbosari * Ilmiy kotib* direktori, ishlab chiqarish va umumiy ishlar uchun oʻrinbosari, xodimlarga ishlash."
"boʻyicha bosh mutaxassis * 1 Tuproq genezisi, geografiyasi va raqamli kartografiyasi boʻlimi * 1 Ilmiy kadrlarni tayyorlash boʻyicha bosh mutaxassis","boʻyicha bosh mutaxassis * 1 Tuproq genezisi, geografiyasi va raqamli kartografiyasi * 1 Ilmiy kadrlarni tayyorlash boʻyicha"
geografiyasi va melioratsiyasi boʻlimi * 1 Yordamchi xodimlar ** Xalqaro aloqalar boʻyicha bosh mutaxassis*** 1 Bosh yuriskonsult * 1 Tuproq,"geografiyavi melioratsiya bo'limi  
1 yordamchi xodim  
xalqaro aloqa bo'yicha bosh mutaxasis  
1 bosh yuriskonsult  
1 tuproq"
"monitoringi, ekologiyasi, unumdorligini baholash va degradatsiyaga uchragan tuproqlar unumdorligini tiklash boʻlimi * 1 Innovatsion texnopark ** 5 Axborot-resurs boʻlimi 1","tuproq monitoringi, ekologiyasi va unumdorlik baholash. degradatsiya uchragan tuproqlar unumdorligini tiklash boʻlimi * 1 innovatsion texnopark ** 5 axborot-resurs boʻlimi"
